批次号,生产日期,产品编号,生产线(反应釜),投料量(kg),预聚温度实测(℃),预聚时间(h),最高温度(℃),搅拌转速(rpm),真空度(MPa),中控NCO%,成品粘度(mPa·s),成品固含量(%),外观,收率(%),操作员,判定,备注
HD-T503-2507-10,2025-07-28,HD-T503,R106,2111,82.2,2.6,88.9,80,-0.092,,,99.7,微黄透明,99.1,何斌,合格,
HD-N401-2510-05,2025-10-06,HD-N401,R108,2057,76.0,2.0,81.3,80,-0.097,3.97,2254,99.8,微黄透明,98.1,林霞,让步接收,轻微偏离，技术评审后放行
HD-W106-2606-11,2026-06-02,HD-W106,R102,4913,74.3,2.9,79.7,60,-0.094,3.09,122357,29.9,微黄透明,99.4,王芳,合格,
HD-W104-2410-02,2024-10-06,HD-W104,R105,4069,80.2,2.3,84.7,100,-0.097,5.76,119414,34.2,微黄透明,98.9,孙丽,合格,
HD-N401-2506-07,2025-06-30,HD-N401,R108,2478,82.8,2.9,91.6,100,-0.097,4.15,2248,100.4,微黄透明,99.5,赵敏,合格,
HD-G201-2506-12,2025-06-28,HD-G201,R102,4983,77.8,2.2,86.5,60,-0.094,5.55,63821,32.9,无色透明,98.5,王芳,合格,
HD-G208-2501-01,2025-01-12,HD-G208,R102,4173,81.2,2.4,85.8,60,-0.092,3.08,86099,37.2,微黄透明,98.9,陈立,合格,
HD-W103-2502-11,2025-02-20,HD-W103,R103,3193,74.1,2.1,79.6,100,-0.091,5.86,138136,33.6,无色透明,98.5,郭燕,让步接收,轻微偏离，技术评审后放行
HD-W103-2503-11,2025-03-16,HD-W103,R103,4781,75.9,3.0,85.8,60,-0.09,4.38,124863,33.3,无色透明,98.4,何斌,合格,
HD-G208-2510-11,2025-10-11,HD-G208,R102,4774,83.6,2.1,91.2,80,-0.096,4.73,89403,37.6,无色透明,99.2,朱军,合格,
HD-T502-2608-06,2026-08-05,HD-T502,R103,1906,76.3,2.5,79.8,80,-0.095,,,100.1,微黄透明,98.9,何斌,合格,
HD-N401-2605-02,2026-05-18,HD-N401,R102,2726,74.1,2.9,80.4,80,-0.097,4.32,2288,100.1,微黄透明,98.4,周涛,合格,
HD-G203-2607-02,2026-07-02,HD-G203,R108,4767,81.3,2.2,83.3,80,-0.097,2.68,89886,32.9,无色透明,98.3,孙丽,合格,
HD-S304-2512-08,2025-12-24,HD-S304,R103,3902,76.4,2.5,85.4,60,-0.095,4.44,49,38.7,微黄透明,99.0,林霞,合格,
HD-S302-2602-08,2026-02-03,HD-S302,R108,3486,75.2,2.3,81.7,60,-0.093,3.05,261,37.3,微黄透明,99.3,朱军,合格,
HD-W103-2607-03,2026-07-28,HD-W103,R103,4646,78.7,2.6,86.7,80,-0.09,4.26,131510,32.3,微黄透明,99.2,郭燕,合格,
HD-T503-2605-08,2026-05-28,HD-T503,R105,2417,79.1,2.2,82.1,60,-0.098,,,99.8,无色透明,98.1,林霞,合格,
HD-G204-2607-02,2026-07-27,HD-G204,R103,4226,74.8,2.8,81.6,60,-0.095,3.48,66170,32.8,微黄透明,97.6,赵敏,合格,
HD-W105-2409-01,2024-09-03,HD-W105,R102,3234,84.0,2.1,87.0,80,-0.097,2.06,102499,34.3,无色透明,98.1,李强,合格,
HD-W105-2603-03,2026-03-01,HD-W105,R105,3817,75.4,2.3,78.2,100,-0.093,2.41,109342,33.9,无色透明,98.8,王芳,合格,
HD-W101-2510-09,2025-10-22,HD-W101,R108,4902,76.3,2.1,79.4,80,-0.091,4.39,144836,32.0,无色透明,98.9,李强,合格,
HD-T501-2410-02,2024-10-16,HD-T501,R105,2489,80.4,2.5,87.4,60,-0.094,,,100.2,微黄透明,98.5,赵敏,合格,
HD-S304-2509-04,2025-09-29,HD-S304,R101,3715,83.0,2.1,91.9,60,-0.093,5.03,55,37.5,无色透明,97.8,李强,合格,
HD-T502-2604-07,2026-04-19,HD-T502,R101,2295,77.4,3.0,86.9,80,-0.092,,,100.2,微黄透明,97.8,王芳,合格,
HD-N401-2603-01,2026-03-30,HD-N401,R106,2351,76.1,2.2,81.0,60,-0.094,4.94,2240,100.1,微黄透明,98.6,何斌,合格,
HD-W107-2502-12,2025-02-07,HD-W107,R101,4555,75.3,2.2,78.5,60,-0.091,4.19,124730,32.2,微黄透明,98.2,林霞,合格,
HD-S304-2604-03,2026-04-06,HD-S304,R101,2203,80.2,2.8,86.6,80,-0.091,3.94,52,38.6,微黄透明,98.5,王芳,合格,
HD-G205-2505-07,2025-05-26,HD-G205,R101,4517,82.2,2.5,90.5,100,-0.098,2.95,100096,39.3,微黄透明,98.1,林霞,让步接收,轻微偏离，技术评审后放行
HD-T504-2506-06,2025-06-25,HD-T504,R105,2188,81.5,2.3,88.6,100,-0.091,,,99.6,微黄透明,98.2,郑凯,合格,
HD-W106-2601-08,2026-01-06,HD-W106,R102,3016,75.9,2.5,79.3,80,-0.095,5.53,120804,30.5,微黄透明,97.8,李强,合格,
HD-W103-2510-04,2025-10-05,HD-W103,R105,3963,81.8,2.4,91.4,80,-0.095,3.11,130201,33.4,无色透明,98.5,赵敏,合格,
HD-W108-2501-04,2025-01-22,HD-W108,R101,3730,78.5,3.0,80.6,100,-0.097,4.53,153575,34.8,微黄透明,99.1,李强,合格,
HD-W101-2503-09,2025-03-08,HD-W101,R106,3751,83.3,2.8,90.5,80,-0.092,5.01,156768,31.4,微黄透明,98.9,林霞,合格,
HD-W102-2411-04,2024-11-06,HD-W102,R106,3743,79.6,2.8,88.6,80,-0.096,4.4,145006,33.4,无色透明,99.4,陈立,合格,
HD-S304-2501-08,2025-01-18,HD-S304,R101,2798,83.0,2.1,92.2,100,-0.097,4.26,48,38.7,无色透明,98.7,周涛,合格,
HD-G202-2511-03,2025-11-07,HD-G202,R103,4968,83.9,2.8,88.0,80,-0.091,3.37,75567,31.4,微黄透明,99.5,何斌,合格,
HD-G201-2503-04,2025-03-16,HD-G201,R103,4154,79.4,2.2,81.5,80,-0.096,5.39,62671,32.7,微黄透明,97.8,孙丽,合格,
HD-G202-2504-10,2025-04-16,HD-G202,R106,4042,78.2,2.7,81.7,80,-0.09,5.29,80708,31.4,无色透明,98.8,陈立,合格,
HD-T501-2411-02,2024-11-23,HD-T501,R108,1902,77.7,2.4,85.9,80,-0.092,,,99.7,微黄透明,97.6,陈立,合格,
HD-S301-2605-04,2026-05-14,HD-S301,R106,2982,75.9,2.3,84.2,60,-0.093,5.25,161,32.0,微黄透明,97.8,郑凯,合格,
HD-T504-2601-12,2026-01-10,HD-T504,R101,1665,77.4,2.0,87.1,60,-0.096,,,99.6,无色透明,97.9,何斌,让步接收,轻微偏离，技术评审后放行
HD-N402-2608-02,2026-08-01,HD-N402,R106,2696,74.7,2.5,78.9,100,-0.094,4.24,5069,99.5,微黄透明,97.9,郑凯,合格,
HD-W103-2412-03,2024-12-31,HD-W103,R106,3810,79.6,3.0,85.7,80,-0.094,2.41,129742,33.2,无色透明,97.8,孙丽,合格,
HD-W104-2506-06,2025-06-15,HD-W104,R103,3816,76.0,2.7,78.8,80,-0.092,3.41,112156,33.9,无色透明,97.8,郭燕,合格,
HD-G204-2410-07,2024-10-11,HD-G204,R106,4180,76.5,2.1,84.1,60,-0.096,5.35,68190,33.4,微黄透明,98.1,陈立,合格,
HD-S301-2412-04,2024-12-26,HD-S301,R108,3438,79.2,2.4,85.2,60,-0.093,4.93,159,31.7,无色透明,97.9,林霞,合格,
HD-W106-2505-02,2025-05-24,HD-W106,R103,3071,74.0,2.8,77.0,100,-0.091,3.98,118827,31.1,无色透明,97.6,吴静,合格,
HD-W103-2412-12,2024-12-06,HD-W103,R103,3896,76.8,2.1,79.1,80,-0.091,5.57,127641,33.6,微黄透明,98.4,孙丽,合格,
HD-S301-2607-07,2026-07-22,HD-S301,R102,2618,83.2,2.3,88.0,60,-0.093,3.08,167,32.0,无色透明,98.5,朱军,合格,
HD-S304-2511-06,2025-11-11,HD-S304,R108,3986,80.8,2.7,84.0,100,-0.097,3.33,52,38.3,无色透明,99.5,孙丽,合格,
HD-G203-2507-12,2025-07-12,HD-G203,R106,4090,76.9,2.7,83.4,100,-0.094,3.25,95629,31.9,无色透明,98.4,郑凯,合格,
HD-W103-2503-06,2025-03-23,HD-W103,R103,3749,80.6,2.2,84.3,80,-0.09,4.32,132240,33.0,无色透明,98.9,王芳,合格,
HD-G202-2411-09,2024-11-10,HD-G202,R108,3904,79.8,2.2,84.9,100,-0.092,5.46,78593,31.0,微黄透明,98.2,何斌,合格,
HD-T504-2604-08,2026-04-05,HD-T504,R105,1606,82.1,2.9,86.0,80,-0.094,,,100.3,微黄透明,98.9,郑凯,合格,
HD-W107-2505-10,2025-05-13,HD-W107,R106,4018,77.2,2.6,81.8,60,-0.097,2.71,115347,32.7,无色透明,98.0,郭燕,合格,
HD-S304-2507-06,2025-07-14,HD-S304,R103,3250,83.9,2.2,91.5,100,-0.098,5.82,53,37.9,无色透明,98.9,陈立,合格,
HD-S302-2603-10,2026-03-03,HD-S302,R103,2583,76.9,2.3,86.6,80,-0.091,4.14,254,37.3,无色透明,99.1,郭燕,合格,
HD-T503-2508-01,2025-08-27,HD-T503,R108,2227,80.1,2.3,88.7,60,-0.093,,,99.7,微黄透明,98.4,何斌,合格,
HD-T502-2608-10,2026-08-01,HD-T502,R102,2250,74.1,2.2,76.5,100,-0.09,,,100.5,无色透明,97.5,朱军,合格,
HD-T503-2410-02,2024-10-06,HD-T503,R108,1697,77.6,2.5,80.8,100,-0.096,,,100.5,微黄透明,99.4,陈立,合格,
HD-W103-2511-09,2025-11-18,HD-W103,R106,4545,81.8,2.6,89.9,60,-0.098,3.0,129412,33.2,微黄透明,98.0,王芳,合格,
HD-W106-2608-03,2026-08-10,HD-W106,R106,3413,74.4,2.4,78.1,60,-0.096,2.04,115081,30.3,微黄透明,99.2,吴静,合格,
HD-G201-2507-07,2025-07-19,HD-G201,R106,3000,76.4,2.8,78.5,60,-0.092,5.11,58677,32.6,微黄透明,98.2,赵敏,让步接收,轻微偏离，技术评审后放行
HD-N401-2606-10,2026-06-23,HD-N401,R106,2096,83.8,2.6,85.9,80,-0.093,3.24,2033,100.4,无色透明,98.7,吴静,合格,
HD-W104-2604-06,2026-04-25,HD-W104,R105,3578,78.0,2.8,83.8,80,-0.098,4.18,111359,34.0,无色透明,98.9,吴静,合格,
HD-W106-2410-05,2024-10-16,HD-W106,R101,4601,76.3,2.6,80.3,80,-0.095,2.42,114567,30.2,微黄透明,97.7,朱军,合格,
HD-G201-2604-09,2026-04-02,HD-G201,R101,4265,76.9,2.3,85.9,80,-0.092,5.61,61833,32.9,无色透明,98.9,吴静,合格,
HD-W107-2604-08,2026-04-10,HD-W107,R103,4566,82.7,2.3,90.4,100,-0.098,3.36,134594,32.5,无色透明,99.8,何斌,合格,
HD-W101-2411-05,2024-11-11,HD-W101,R108,3751,81.0,2.3,86.8,80,-0.094,2.63,155595,30.6,无色透明,97.6,周涛,合格,
HD-W106-2510-12,2025-10-14,HD-W106,R106,4634,74.8,2.7,78.4,60,-0.098,2.07,100689,30.4,微黄透明,99.3,周涛,合格,
HD-G204-2604-12,2026-04-17,HD-G204,R105,3483,81.6,2.8,84.3,80,-0.094,2.7,72032,32.9,微黄透明,99.6,朱军,合格,
HD-W102-2506-06,2025-06-30,HD-W102,R108,4879,83.6,2.4,86.8,100,-0.095,5.49,134092,33.9,无色透明,98.2,王芳,合格,
HD-T503-2504-01,2025-04-12,HD-T503,R102,2002,79.2,2.2,83.3,80,-0.095,,,99.5,微黄透明,97.9,周涛,合格,
HD-S301-2604-04,2026-04-10,HD-S301,R101,3957,76.3,2.9,81.4,80,-0.092,4.16,144,32.0,微黄透明,98.0,吴静,合格,
HD-W106-2503-08,2025-03-06,HD-W106,R105,4299,74.3,2.1,83.7,80,-0.091,2.02,114262,30.0,微黄透明,98.9,林霞,合格,
HD-S304-2512-01,2025-12-05,HD-S304,R102,2989,82.6,3.0,84.7,60,-0.096,2.52,52,38.7,微黄透明,99.2,朱军,合格,
HD-T502-2412-07,2024-12-26,HD-T502,R108,1721,74.1,2.7,78.2,80,-0.093,,,100.1,无色透明,98.3,陈立,合格,
HD-N401-2411-02,2024-11-13,HD-N401,R101,2868,81.5,2.9,85.4,80,-0.091,2.78,2079,99.6,无色透明,97.6,赵敏,合格,
HD-G201-2410-06,2024-10-27,HD-G201,R101,3038,83.0,2.6,88.0,60,-0.097,4.31,59853,32.0,微黄透明,98.5,李强,合格,
HD-T502-2509-05,2025-09-17,HD-T502,R105,1834,82.0,2.1,84.8,80,-0.093,,,101.2,无色透明,98.3,陈立,合格,
HD-G208-2410-03,2024-10-16,HD-G208,R102,4790,77.6,2.4,83.9,60,-0.09,4.67,94915,37.5,无色透明,99.0,郭燕,合格,
HD-W104-2508-08,2025-08-24,HD-W104,R108,3385,76.8,2.3,82.0,100,-0.091,2.46,124263,34.1,无色透明,99.5,林霞,合格,
HD-G202-2503-01,2025-03-28,HD-G202,R103,3714,75.6,2.7,78.4,100,-0.09,5.29,85592,31.9,微黄透明,98.5,吴静,合格,
HD-N401-2504-02,2025-04-03,HD-N401,R108,2147,76.2,2.3,82.1,100,-0.097,4.61,2237,100.3,无色透明,99.2,郭燕,合格,
HD-N401-2409-01,2024-09-14,HD-N401,R105,2102,76.5,3.0,79.2,60,-0.091,3.96,2031,100.4,微黄透明,98.0,何斌,合格,
HD-G203-2409-04,2024-09-04,HD-G203,R105,3477,78.1,2.6,85.4,60,-0.09,3.71,98654,32.4,无色透明,99.4,林霞,合格,
HD-G203-2511-02,2025-11-12,HD-G203,R101,3722,74.7,2.8,78.3,80,-0.093,4.59,90268,31.9,无色透明,98.9,周涛,合格,
HD-G204-2510-06,2025-10-25,HD-G204,R102,3153,82.6,3.0,89.1,100,-0.092,5.78,69679,32.6,无色透明,99.5,陈立,合格,
HD-T502-2512-04,2025-12-04,HD-T502,R103,2066,78.2,3.0,87.1,80,-0.093,,,100.3,无色透明,98.2,周涛,合格,
HD-G202-2410-04,2024-10-18,HD-G202,R101,4547,82.2,2.8,89.8,80,-0.098,2.13,79996,30.9,无色透明,98.1,何斌,合格,
HD-S304-2412-03,2024-12-28,HD-S304,R106,3011,79.3,2.7,86.9,80,-0.094,2.53,53,38.3,微黄透明,98.1,孙丽,合格,
HD-W106-2606-03,2026-06-05,HD-W106,R101,4127,78.4,2.5,87.1,60,-0.097,2.17,116866,30.9,微黄透明,97.8,赵敏,合格,
HD-G208-2508-12,2025-08-06,HD-G208,R108,4728,80.5,2.2,88.9,60,-0.096,4.81,93035,38.1,无色透明,98.5,朱军,合格,
HD-W107-2410-09,2024-10-01,HD-W107,R106,3759,78.5,2.9,86.6,80,-0.097,4.72,126802,32.5,无色透明,98.8,赵敏,合格,
HD-G205-2506-09,2025-06-07,HD-G205,R105,4012,81.1,2.3,84.2,60,-0.094,3.03,92744,39.2,无色透明,99.4,王芳,合格,
HD-W107-2608-03,2026-08-19,HD-W107,R101,4302,80.9,2.2,90.0,60,-0.097,3.83,146442,31.8,微黄透明,99.2,周涛,合格,
HD-G204-2602-03,2026-02-15,HD-G204,R101,4879,75.8,2.2,85.7,80,-0.098,5.41,67118,32.3,无色透明,98.5,李强,合格,
HD-W102-2511-05,2025-11-04,HD-W102,R108,4777,83.7,2.3,88.2,100,-0.094,3.87,129009,33.1,微黄透明,98.7,孙丽,合格,
HD-S302-2512-02,2025-12-12,HD-S302,R108,2199,75.8,2.5,80.6,60,-0.093,3.56,273,37.0,微黄透明,99.1,朱军,合格,
HD-S302-2607-09,2026-07-12,HD-S302,R105,2195,77.9,2.1,84.9,80,-0.095,4.92,279,38.3,微黄透明,98.4,赵敏,合格,
HD-G202-2412-08,2024-12-13,HD-G202,R101,3063,77.1,3.0,81.3,60,-0.091,4.94,78300,31.4,无色透明,98.7,李强,合格,
HD-G203-2607-08,2026-07-08,HD-G203,R105,3536,78.9,2.4,81.4,80,-0.092,2.57,83507,32.3,微黄透明,99.3,孙丽,合格,
HD-W105-2605-12,2026-05-07,HD-W105,R108,4846,74.3,2.6,78.3,100,-0.097,2.95,115841,34.3,无色透明,98.9,周涛,合格,
HD-T503-2504-05,2025-04-16,HD-T503,R101,1661,83.6,2.1,90.0,80,-0.093,,,100.4,微黄透明,98.9,郑凯,合格,
HD-G205-2409-12,2024-09-15,HD-G205,R105,3256,76.5,2.2,82.1,80,-0.096,4.49,92251,39.2,无色透明,98.5,李强,合格,
HD-T501-2507-12,2025-07-20,HD-T501,R106,1825,82.2,2.3,90.4,100,-0.095,,,100.2,无色透明,98.3,何斌,合格,
HD-T501-2603-09,2026-03-03,HD-T501,R101,1924,80.4,2.9,85.7,100,-0.096,,,100.2,无色透明,97.7,吴静,合格,
HD-G204-2409-12,2024-09-18,HD-G204,R102,3132,81.7,2.2,84.6,100,-0.093,2.75,70203,32.6,无色透明,98.4,陈立,合格,
HD-W106-2507-11,2025-07-30,HD-W106,R106,3679,77.2,2.5,84.1,80,-0.091,3.27,112418,30.3,微黄透明,98.6,郑凯,合格,
HD-W103-2411-02,2024-11-13,HD-W103,R105,4554,77.2,2.1,82.3,60,-0.092,2.63,120560,32.8,微黄透明,98.2,朱军,合格,
HD-G201-2410-10,2024-10-11,HD-G201,R101,4251,74.5,2.4,80.2,100,-0.097,4.98,63499,32.7,无色透明,98.7,郭燕,合格,
HD-W101-2605-05,2026-05-23,HD-W101,R101,4420,77.3,2.1,84.5,80,-0.093,3.13,138952,30.7,微黄透明,98.3,吴静,合格,
HD-W106-2501-05,2025-01-28,HD-W106,R108,4682,78.2,2.5,81.7,60,-0.097,4.36,104696,30.9,无色透明,98.9,朱军,合格,
HD-W107-2508-04,2025-08-26,HD-W107,R103,3760,78.4,2.3,85.4,60,-0.093,4.43,136731,32.8,微黄透明,99.1,林霞,合格,
HD-W102-2411-12,2024-11-04,HD-W102,R106,3121,83.2,2.3,91.1,80,-0.096,4.39,137063,33.0,微黄透明,98.5,朱军,合格,
HD-W104-2412-11,2024-12-07,HD-W104,R108,4543,79.0,2.0,83.2,80,-0.094,5.62,126923,34.0,微黄透明,98.6,陈立,合格,
HD-S301-2606-10,2026-06-28,HD-S301,R108,2392,83.7,2.9,86.9,80,-0.092,4.09,156,31.6,无色透明,99.7,朱军,合格,
HD-W103-2504-07,2025-04-16,HD-W103,R106,3821,83.1,2.7,88.2,60,-0.098,4.77,131444,33.8,无色透明,99.7,王芳,合格,
HD-W102-2412-06,2024-12-07,HD-W102,R108,3447,76.0,2.2,84.6,80,-0.093,2.08,136354,33.5,微黄透明,98.8,何斌,让步接收,轻微偏离，技术评审后放行
HD-T503-2512-01,2025-12-10,HD-T503,R106,2445,82.4,2.7,85.6,80,-0.093,,,99.5,微黄透明,98.6,陈立,合格,
HD-T504-2606-02,2026-06-25,HD-T504,R105,2348,80.3,2.0,90.2,60,-0.097,,,100.0,微黄透明,99.5,林霞,合格,
HD-W101-2411-03,2024-11-15,HD-W101,R101,4204,77.9,2.4,82.7,80,-0.094,5.43,156985,30.9,微黄透明,98.2,王芳,合格,
HD-S302-2607-05,2026-07-28,HD-S302,R105,3714,82.0,2.6,89.9,100,-0.096,5.42,246,37.3,微黄透明,99.5,郑凯,合格,
HD-T504-2604-03,2026-04-21,HD-T504,R105,2077,82.3,2.8,90.4,80,-0.094,,,100.1,微黄透明,98.1,何斌,合格,
HD-G201-2602-08,2026-02-07,HD-G201,R106,4033,74.2,2.9,78.9,100,-0.092,2.03,65837,32.1,无色透明,97.9,林霞,合格,
HD-G208-2412-03,2024-12-06,HD-G208,R106,3445,77.4,2.9,83.8,100,-0.095,3.79,89535,37.8,微黄透明,99.6,郭燕,合格,
HD-G205-2510-12,2025-10-20,HD-G205,R108,3336,82.2,2.9,84.2,100,-0.095,2.59,99740,39.8,无色透明,99.4,李强,合格,
HD-W108-2503-01,2025-03-04,HD-W108,R108,4840,77.6,2.6,82.9,100,-0.094,4.83,134431,34.1,无色透明,98.9,李强,合格,
HD-G201-2511-01,2025-11-27,HD-G201,R106,3283,81.9,2.5,89.3,100,-0.097,2.85,67892,32.9,微黄透明,99.6,何斌,合格,
HD-W104-2504-05,2025-04-16,HD-W104,R105,3083,76.7,2.3,81.7,80,-0.098,4.2,118799,34.3,无色透明,97.5,朱军,合格,
HD-N401-2511-08,2025-11-29,HD-N401,R105,2197,77.6,2.3,79.7,100,-0.095,4.52,2003,99.7,无色透明,97.7,吴静,合格,
HD-S304-2410-07,2024-10-27,HD-S304,R108,3411,83.6,2.6,91.5,80,-0.097,2.16,53,38.7,无色透明,99.2,何斌,合格,
HD-G206-2604-06,2026-04-13,HD-G206,R106,4040,80.3,2.9,83.0,100,-0.096,2.91,99823,32.5,微黄透明,97.7,王芳,合格,
HD-G203-2507-09,2025-07-26,HD-G203,R108,3859,77.3,2.6,84.0,100,-0.096,3.56,87220,32.5,无色透明,98.3,孙丽,合格,
HD-W106-2409-10,2024-09-10,HD-W106,R108,4968,79.2,2.3,83.0,60,-0.095,3.94,112736,30.3,无色透明,99.6,郑凯,合格,
HD-W101-2411-11,2024-11-05,HD-W101,R106,4264,75.7,2.2,81.0,80,-0.093,2.52,177687,31.5,无色透明,98.0,朱军,不合格,粘度超限，转问题案例跟踪
HD-W105-2605-07,2026-05-02,HD-W105,R102,3642,77.0,3.0,82.0,60,-0.091,5.92,113817,34.3,微黄透明,97.9,吴静,合格,
HD-W104-2511-10,2025-11-24,HD-W104,R102,3079,79.4,2.6,88.5,100,-0.09,4.43,125585,34.2,微黄透明,97.7,林霞,合格,
HD-G201-2503-10,2025-03-30,HD-G201,R108,3528,80.7,2.4,83.2,60,-0.095,5.98,59360,32.1,微黄透明,98.3,郭燕,合格,
HD-S302-2411-12,2024-11-05,HD-S302,R105,2943,83.5,2.4,92.9,100,-0.091,2.78,271,38.1,微黄透明,98.7,王芳,合格,
HD-W105-2508-02,2025-08-14,HD-W105,R108,3889,81.5,2.0,85.7,80,-0.092,2.31,103013,33.8,微黄透明,98.6,陈立,合格,
HD-W104-2503-11,2025-03-06,HD-W104,R106,3854,77.4,2.7,85.1,60,-0.096,4.72,126256,34.2,无色透明,99.7,林霞,合格,
HD-W105-2502-05,2025-02-26,HD-W105,R106,3269,80.6,2.0,85.7,60,-0.092,2.7,114236,33.8,无色透明,99.6,吴静,合格,
HD-G208-2511-10,2025-11-05,HD-G208,R106,3038,74.3,2.4,76.5,100,-0.092,4.19,94701,37.3,微黄透明,99.0,朱军,合格,
HD-W103-2604-07,2026-04-28,HD-W103,R102,4831,81.5,3.0,84.8,100,-0.094,4.05,123949,32.1,无色透明,98.1,陈立,合格,
HD-G204-2608-07,2026-08-09,HD-G204,R103,3292,81.0,2.5,83.2,60,-0.096,2.68,63010,31.4,微黄透明,99.0,孙丽,合格,
HD-W106-2411-11,2024-11-29,HD-W106,R103,4422,80.5,2.1,85.3,100,-0.095,3.0,117452,30.2,无色透明,99.2,朱军,合格,
HD-G204-2604-08,2026-04-11,HD-G204,R105,4471,77.3,2.3,81.8,80,-0.091,4.49,68355,33.7,无色透明,97.9,吴静,合格,
HD-G208-2411-09,2024-11-07,HD-G208,R101,3524,78.2,2.5,83.9,80,-0.093,5.7,93243,38.1,无色透明,98.1,王芳,合格,
HD-G202-2412-12,2024-12-16,HD-G202,R105,3594,82.8,2.1,91.5,100,-0.09,2.82,77393,31.6,无色透明,99.1,孙丽,合格,
HD-T502-2508-09,2025-08-21,HD-T502,R103,2402,84.0,2.5,90.4,80,-0.095,,,100.2,无色透明,97.7,林霞,合格,
HD-G205-2501-09,2025-01-19,HD-G205,R105,3065,79.6,2.8,85.1,80,-0.094,2.75,98792,39.4,无色透明,97.6,陈立,合格,
HD-W107-2607-06,2026-07-01,HD-W107,R108,3128,80.8,2.0,86.4,100,-0.096,3.19,126814,32.6,无色透明,99.3,林霞,合格,
HD-G201-2504-07,2025-04-10,HD-G201,R101,3832,79.3,2.7,87.8,80,-0.091,4.98,68930,32.7,微黄透明,97.8,周涛,合格,
HD-G206-2601-10,2026-01-16,HD-G206,R102,3132,75.9,2.9,84.0,60,-0.09,5.43,129967,32.2,无色透明,99.2,郑凯,不合格,粘度超限，转问题案例跟踪
HD-G206-2503-12,2025-03-03,HD-G206,R106,3649,80.1,2.4,87.8,80,-0.094,4.93,97024,32.0,无色透明,98.4,郑凯,合格,
HD-G204-2504-03,2025-04-30,HD-G204,R103,3088,82.0,3.0,90.6,60,-0.095,3.15,67466,33.3,无色透明,98.8,孙丽,合格,
HD-T502-2507-04,2025-07-23,HD-T502,R103,1893,83.1,2.3,92.1,60,-0.093,,,99.7,无色透明,98.0,陈立,合格,
HD-T505-2505-01,2025-05-06,HD-T505,R105,2274,76.7,2.6,84.5,60,-0.093,,,99.5,无色透明,99.6,李强,合格,
HD-T503-2502-06,2025-02-27,HD-T503,R102,1925,76.5,2.3,80.1,60,-0.093,,,100.1,微黄透明,98.8,朱军,合格,
HD-W107-2502-07,2025-02-19,HD-W107,R108,3095,76.4,2.4,84.6,80,-0.091,5.35,128678,32.4,微黄透明,98.8,陈立,合格,
HD-T503-2511-02,2025-11-24,HD-T503,R105,2080,76.5,2.9,84.6,60,-0.098,,,100.3,微黄透明,97.8,赵敏,合格,
HD-T501-2504-06,2025-04-07,HD-T501,R108,2180,77.5,2.6,79.6,80,-0.09,,,100.7,无色透明,98.8,郑凯,合格,
