产品编号,核算期间,原料成本(元/kg),溶剂成本(元/kg),助剂成本(元/kg),能源(元/kg),人工(元/kg),制造费用(元/kg),包装(元/kg),合计成本(元/kg),当期售价(元/kg),毛利率%
HD-W103,2025Q3,11.95,0.92,0.78,0.78,0.61,1.3,0.35,16.69,21.45,22.2
HD-W103,2025Q4,12.74,0.99,0.81,0.8,0.61,1.23,0.35,17.52,21.86,19.9
HD-W103,2026Q1,14.12,1.02,0.77,0.84,0.58,1.27,0.35,18.95,24.46,22.5
HD-W103,2026Q2,13.37,1.03,0.77,0.88,0.62,1.24,0.35,18.26,23.11,21.0
HD-W104,2024Q4,20.63,0.97,0.83,0.83,0.62,1.26,0.35,25.49,32.71,22.1
HD-W104,2025Q1,21.78,1.04,0.8,0.73,0.62,1.33,0.35,26.65,30.45,12.5
HD-W104,2025Q2,21.63,0.98,0.73,0.82,0.6,1.28,0.35,26.4,31.0,14.8
HD-W104,2025Q3,19.8,0.92,0.75,0.85,0.6,1.34,0.35,24.61,30.23,18.6
HD-W104,2025Q4,21.97,0.99,0.79,0.78,0.59,1.26,0.35,26.73,34.97,23.6
HD-W104,2026Q1,21.97,1.02,0.8,0.78,0.61,1.32,0.35,26.84,30.88,13.1
HD-W104,2026Q2,22.79,1.03,0.76,0.77,0.59,1.25,0.35,27.55,36.34,24.2
HD-W105,2024Q4,12.29,0.97,0.8,0.75,0.63,1.31,0.35,17.1,21.07,18.8
HD-W105,2025Q1,13.19,1.04,0.76,0.72,0.59,1.27,0.35,17.92,23.16,22.6
HD-W105,2025Q2,12.39,0.98,0.81,0.74,0.62,1.29,0.35,17.19,20.78,17.3
HD-W105,2025Q3,11.26,0.92,0.81,0.83,0.62,1.22,0.35,16.01,20.01,20.0
HD-W105,2025Q4,12.43,0.99,0.79,0.68,0.6,1.28,0.35,17.12,19.88,13.9
HD-W105,2026Q1,13.06,1.02,0.84,0.79,0.59,1.33,0.35,17.99,23.09,22.1
HD-W105,2026Q2,13.39,1.03,0.79,0.82,0.62,1.35,0.35,18.35,24.08,23.8
HD-W106,2024Q4,11.39,0.97,0.8,0.87,0.62,1.37,0.35,16.38,21.45,23.6
HD-W106,2025Q1,11.83,1.04,0.83,0.89,0.62,1.33,0.35,16.89,18.98,11.0
HD-W106,2025Q2,11.1,0.98,0.68,0.8,0.61,1.3,0.35,15.82,19.83,20.2
HD-W106,2025Q3,10.34,0.92,0.84,0.83,0.62,1.31,0.35,15.21,17.83,14.7
HD-W106,2025Q4,11.23,0.99,0.88,0.73,0.59,1.24,0.35,16.01,21.01,23.8
HD-W106,2026Q1,11.89,1.02,0.84,0.78,0.62,1.3,0.35,16.79,19.25,12.8
HD-W106,2026Q2,11.57,1.03,0.87,0.79,0.61,1.26,0.35,16.47,20.85,21.0
HD-W107,2024Q4,36.03,0.97,0.79,0.83,0.58,1.28,0.35,40.84,46.46,12.1
HD-W107,2025Q1,39.17,1.04,0.73,0.7,0.61,1.32,0.35,43.92,54.6,19.6
HD-W107,2025Q2,35.91,0.98,0.82,0.79,0.57,1.28,0.35,40.7,52.72,22.8
HD-W107,2025Q3,32.85,0.92,0.76,0.76,0.61,1.32,0.35,37.56,49.22,23.7
HD-W107,2025Q4,35.91,0.99,0.8,0.76,0.63,1.33,0.35,40.77,46.13,11.6
HD-W107,2026Q1,36.64,1.02,0.78,0.77,0.62,1.25,0.35,41.42,50.12,17.4
HD-W107,2026Q2,38.41,1.03,0.85,0.85,0.57,1.31,0.35,43.37,54.74,20.8
HD-W108,2024Q4,35.11,0.97,0.87,0.83,0.57,1.35,0.35,40.05,55.43,27.7
HD-W108,2025Q1,37.58,1.04,0.74,0.89,0.61,1.28,0.35,42.48,57.86,26.6
HD-W108,2025Q2,35.12,0.98,0.81,0.83,0.58,1.27,0.35,39.94,52.1,23.3
HD-W108,2025Q3,33.31,0.92,0.85,0.81,0.6,1.24,0.35,38.08,46.4,17.9
HD-W108,2025Q4,35.76,0.99,0.78,0.82,0.59,1.26,0.35,40.55,54.88,26.1
HD-W108,2026Q1,37.4,1.02,0.84,0.85,0.64,1.21,0.35,42.3,51.73,18.2
HD-W108,2026Q2,38.57,1.03,0.84,0.78,0.57,1.3,0.35,43.44,57.63,24.6
HD-W109,2024Q4,16.37,0.97,0.82,0.8,0.6,1.27,0.35,21.17,29.88,29.1
HD-W109,2025Q1,16.48,1.04,0.81,0.79,0.6,1.32,0.35,21.39,26.02,17.8
HD-W109,2025Q2,17.0,0.98,0.76,0.77,0.59,1.31,0.35,21.77,28.95,24.8
HD-W109,2025Q3,15.39,0.92,0.83,0.75,0.59,1.34,0.35,20.16,29.14,30.8
HD-W109,2025Q4,16.38,0.99,0.83,0.84,0.59,1.29,0.35,21.27,27.01,21.3
HD-W109,2026Q1,16.83,1.02,0.83,0.82,0.58,1.32,0.35,21.75,28.76,24.4
HD-W109,2026Q2,16.42,1.03,0.85,0.82,0.6,1.27,0.35,21.35,30.58,30.2
HD-W110,2024Q4,21.45,0.97,0.76,0.82,0.6,1.25,0.35,26.21,34.33,23.7
HD-W110,2025Q1,22.41,1.04,0.81,0.81,0.59,1.31,0.35,27.32,39.6,31.0
HD-W110,2025Q2,21.17,0.98,0.74,0.8,0.6,1.41,0.35,26.05,31.69,17.8
HD-W110,2025Q3,20.23,0.92,0.8,0.82,0.59,1.31,0.35,25.01,34.52,27.5
HD-W110,2025Q4,21.4,0.99,0.85,0.73,0.59,1.31,0.35,26.21,35.53,26.2
HD-W110,2026Q1,21.3,1.02,0.81,0.81,0.57,1.26,0.35,26.13,31.76,17.7
HD-W110,2026Q2,22.4,1.03,0.73,0.76,0.61,1.24,0.35,27.13,37.59,27.8
HD-W111,2024Q4,16.09,0.97,0.85,0.82,0.56,1.33,0.35,20.98,28.08,25.3
HD-W111,2025Q1,17.2,1.04,0.77,0.78,0.59,1.29,0.35,22.02,31.73,30.6
HD-W111,2025Q2,16.75,0.98,0.8,0.79,0.6,1.37,0.35,21.64,30.02,27.9
HD-W111,2025Q3,15.35,0.92,0.83,0.78,0.62,1.29,0.35,20.15,28.81,30.1
HD-W111,2025Q4,16.67,0.99,0.76,0.83,0.62,1.27,0.35,21.49,27.27,21.2
HD-W111,2026Q1,16.67,1.02,0.83,0.8,0.62,1.34,0.35,21.64,27.57,21.5
HD-W111,2026Q2,16.83,1.03,0.76,0.77,0.58,1.28,0.35,21.6,28.76,24.9
HD-W112,2024Q4,12.18,0.97,0.77,0.88,0.62,1.27,0.35,17.03,22.93,25.7
HD-W112,2025Q1,12.62,1.04,0.85,0.82,0.6,1.32,0.35,17.59,21.76,19.2
HD-W112,2025Q2,12.15,0.98,0.85,0.86,0.62,1.28,0.35,17.09,23.35,26.8
HD-W112,2025Q3,11.22,0.92,0.79,0.83,0.58,1.26,0.35,15.95,20.96,23.9
HD-W112,2025Q4,12.54,0.99,0.77,0.8,0.59,1.28,0.35,17.31,22.5,23.1
HD-W112,2026Q1,12.55,1.02,0.85,0.78,0.6,1.3,0.35,17.45,21.43,18.6
HD-W112,2026Q2,12.5,1.03,0.84,0.79,0.62,1.32,0.35,17.45,21.07,17.2
HD-G201,2024Q4,12.57,0.86,0.89,0.8,0.65,1.27,0.35,17.38,21.95,20.8
HD-G201,2025Q1,13.11,0.92,0.87,0.8,0.61,1.28,0.35,17.94,20.56,12.7
HD-G201,2025Q2,12.42,0.87,0.93,0.75,0.6,1.28,0.35,17.21,21.7,20.7
HD-G201,2025Q3,11.82,0.82,0.92,0.8,0.58,1.25,0.35,16.54,20.11,17.8
HD-G201,2025Q4,13.17,0.88,0.98,0.79,0.61,1.37,0.35,18.15,23.85,23.9
HD-G201,2026Q1,13.39,0.9,0.93,0.8,0.6,1.33,0.35,18.31,21.76,15.9
HD-G201,2026Q2,13.47,0.92,0.94,0.82,0.61,1.32,0.35,18.42,22.43,17.9
HD-G202,2024Q4,20.46,0.86,0.93,0.83,0.62,1.29,0.35,25.34,29.21,13.2
HD-G202,2025Q1,21.85,0.92,0.93,0.77,0.62,1.23,0.35,26.67,31.6,15.6
HD-G202,2025Q2,20.89,0.87,0.96,0.77,0.58,1.24,0.35,25.66,33.52,23.4
HD-G202,2025Q3,19.92,0.82,0.87,0.8,0.59,1.28,0.35,24.62,28.29,13.0
HD-G202,2025Q4,21.02,0.88,0.9,0.92,0.62,1.3,0.35,25.99,32.06,18.9
HD-G202,2026Q1,22.62,0.9,0.91,0.73,0.63,1.28,0.35,27.43,33.52,18.2
HD-G202,2026Q2,22.61,0.92,0.85,0.81,0.63,1.26,0.35,27.42,35.35,22.4
HD-G203,2024Q4,12.13,0.86,0.9,0.84,0.62,1.24,0.35,16.95,20.17,16.0
HD-G203,2025Q1,12.91,0.92,0.85,0.76,0.57,1.33,0.35,17.69,19.96,11.4
HD-G203,2025Q2,12.25,0.87,0.86,0.77,0.57,1.3,0.35,16.98,19.82,14.3
HD-G203,2025Q3,11.5,0.82,0.95,0.81,0.6,1.24,0.35,16.26,18.45,11.9
HD-G203,2025Q4,12.58,0.88,0.92,0.79,0.61,1.26,0.35,17.38,22.57,23.0
HD-G203,2026Q1,13.04,0.9,0.96,0.79,0.61,1.3,0.35,17.96,20.98,14.4
HD-G203,2026Q2,13.28,0.92,0.95,0.79,0.6,1.24,0.35,18.12,22.97,21.1
HD-G204,2024Q4,16.0,0.86,0.96,0.8,0.57,1.38,0.35,20.92,26.39,20.7
HD-G204,2025Q1,17.52,0.92,0.95,0.87,0.58,1.29,0.35,22.48,25.44,11.6
HD-G204,2025Q2,16.56,0.87,0.83,0.74,0.62,1.32,0.35,21.29,24.85,14.3
HD-G204,2025Q3,15.51,0.82,0.89,0.78,0.58,1.31,0.35,20.24,25.86,21.7
HD-G204,2025Q4,16.79,0.88,0.99,0.79,0.65,1.27,0.35,21.71,25.29,14.2
HD-G204,2026Q1,17.3,0.9,0.91,0.72,0.6,1.35,0.35,22.13,25.84,14.4
HD-G204,2026Q2,17.04,0.92,0.84,0.84,0.63,1.28,0.35,21.9,26.5,17.4
HD-G205,2024Q4,43.18,0.86,0.99,0.79,0.6,1.26,0.35,48.03,57.62,16.6
HD-G205,2025Q1,45.48,0.92,0.94,0.78,0.62,1.34,0.35,50.42,57.22,11.9
HD-G205,2025Q2,42.72,0.87,0.87,0.82,0.6,1.3,0.35,47.54,55.57,14.5
HD-G205,2025Q3,40.61,0.82,0.99,0.77,0.6,1.36,0.35,45.49,51.41,11.5
HD-G205,2025Q4,43.45,0.88,0.85,0.8,0.61,1.28,0.35,48.22,55.79,13.6
HD-G205,2026Q1,43.54,0.9,0.95,0.88,0.58,1.35,0.35,48.56,62.36,22.1
HD-G205,2026Q2,46.35,0.92,0.92,0.82,0.62,1.26,0.35,51.23,67.1,23.7
HD-G206,2024Q4,20.5,0.86,0.87,0.8,0.58,1.29,0.35,25.25,31.08,18.8
HD-G206,2025Q1,21.94,0.92,0.88,0.79,0.61,1.27,0.35,26.75,31.33,14.6
HD-G206,2025Q2,20.77,0.87,0.85,0.74,0.59,1.31,0.35,25.48,30.52,16.5
HD-G206,2025Q3,20.05,0.82,0.94,0.74,0.57,1.29,0.35,24.75,30.39,18.6
HD-G206,2025Q4,21.81,0.88,0.96,0.75,0.62,1.35,0.35,26.71,31.43,15.0
HD-G206,2026Q1,22.74,0.9,0.92,0.82,0.62,1.35,0.35,27.7,34.26,19.1
HD-G206,2026Q2,22.96,0.92,0.95,0.8,0.58,1.32,0.35,27.88,34.93,20.2
HD-G207,2024Q4,50.41,0.86,0.88,0.81,0.59,1.29,0.35,55.19,75.0,26.4
HD-G207,2025Q1,50.26,0.92,0.86,0.83,0.6,1.35,0.35,55.16,79.81,30.9
HD-G207,2025Q2,49.52,0.87,0.86,0.81,0.61,1.34,0.35,54.37,68.82,21.0
HD-G207,2025Q3,46.94,0.82,0.88,0.78,0.59,1.31,0.35,51.67,69.81,26.0
HD-G207,2025Q4,48.38,0.88,0.87,0.89,0.61,1.3,0.35,53.28,66.57,20.0
HD-G207,2026Q1,53.69,0.9,0.83,0.75,0.61,1.26,0.35,58.41,84.03,30.5
HD-G207,2026Q2,53.49,0.92,0.88,0.84,0.58,1.32,0.35,58.38,80.24,27.2
HD-G208,2024Q4,10.91,0.86,0.84,0.81,0.58,1.35,0.35,15.71,20.27,22.5
HD-G208,2025Q1,11.71,0.92,0.94,0.78,0.61,1.35,0.35,16.66,21.96,24.1
HD-G208,2025Q2,11.23,0.87,0.89,0.81,0.59,1.26,0.35,16.0,18.54,13.7
HD-G208,2025Q3,10.55,0.82,0.8,0.82,0.63,1.3,0.35,15.26,19.8,22.9
HD-G208,2025Q4,11.4,0.88,0.91,0.77,0.63,1.28,0.35,16.22,20.07,19.2
HD-G208,2026Q1,11.84,0.9,0.97,0.84,0.59,1.29,0.35,16.79,19.29,13.0
HD-G208,2026Q2,11.8,0.92,0.92,0.83,0.65,1.21,0.35,16.67,20.77,19.7
HD-G209,2024Q4,16.38,0.86,0.9,0.77,0.57,1.33,0.35,21.16,26.64,20.6
HD-G209,2025Q1,17.18,0.92,0.84,0.83,0.57,1.3,0.35,21.99,27.47,19.9
HD-G209,2025Q2,16.14,0.87,0.93,0.78,0.63,1.26,0.35,20.96,26.96,22.3
HD-G209,2025Q3,14.49,0.82,0.94,0.78,0.59,1.23,0.35,19.2,25.52,24.8
HD-G209,2025Q4,16.28,0.88,0.93,0.8,0.57,1.36,0.35,21.17,29.08,27.2
HD-G209,2026Q1,17.19,0.9,0.91,0.8,0.6,1.29,0.35,22.03,30.18,27.0
HD-G209,2026Q2,17.26,0.92,0.86,0.81,0.6,1.24,0.35,22.03,29.25,24.7
HD-G210,2024Q4,42.24,0.86,0.92,0.79,0.59,1.38,0.35,47.13,61.74,23.7
HD-G210,2025Q1,45.44,0.92,0.86,0.8,0.61,1.33,0.35,50.32,67.65,25.6
HD-G210,2025Q2,41.67,0.87,0.94,0.79,0.6,1.36,0.35,46.58,58.78,20.8
HD-G210,2025Q3,40.87,0.82,0.86,0.76,0.57,1.26,0.35,45.49,58.49,22.2
HD-G210,2025Q4,43.43,0.88,0.85,0.85,0.6,1.25,0.35,48.2,68.94,30.1
HD-G210,2026Q1,43.35,0.9,0.87,0.8,0.6,1.29,0.35,48.16,66.06,27.1
HD-G210,2026Q2,43.76,0.92,0.85,0.74,0.6,1.32,0.35,48.53,60.2,19.4
HD-S301,2024Q4,41.87,0.05,1.65,0.58,0.61,1.31,0.35,46.42,54.5,14.8
HD-S301,2025Q1,44.17,0.06,1.54,0.63,0.6,1.23,0.35,48.59,60.1,19.2
HD-S301,2025Q2,42.9,0.05,1.58,0.62,0.62,1.29,0.35,47.42,62.01,23.5
HD-S301,2025Q3,39.89,0.05,1.53,0.56,0.59,1.24,0.35,44.21,50.6,12.6
HD-S301,2025Q4,43.82,0.05,1.68,0.56,0.61,1.29,0.35,48.38,61.34,21.1
HD-S301,2026Q1,43.95,0.06,1.65,0.58,0.6,1.32,0.35,48.51,60.51,19.8
HD-S301,2026Q2,44.41,0.06,1.7,0.58,0.61,1.27,0.35,48.97,58.18,15.8
HD-S302,2024Q4,19.06,0.05,1.46,0.62,0.61,1.34,0.35,23.49,30.53,23.1
HD-S302,2025Q1,20.47,0.06,1.57,0.59,0.59,1.34,0.35,24.98,31.72,21.2
HD-S302,2025Q2,19.64,0.05,1.75,0.61,0.61,1.33,0.35,24.34,29.95,18.7
HD-S302,2025Q3,18.6,0.05,1.63,0.59,0.61,1.3,0.35,23.14,30.43,24.0
HD-S302,2025Q4,19.56,0.05,1.54,0.53,0.58,1.27,0.35,23.89,30.11,20.7
HD-S302,2026Q1,20.41,0.06,1.76,0.63,0.58,1.23,0.35,25.02,32.2,22.3
HD-S302,2026Q2,20.66,0.06,1.58,0.57,0.62,1.19,0.35,25.03,29.78,16.0
HD-S303,2024Q4,50.32,0.05,1.57,0.57,0.61,1.25,0.35,54.72,65.95,17.0
HD-S303,2025Q1,53.53,0.06,1.64,0.66,0.6,1.36,0.35,58.2,78.02,25.4
HD-S303,2025Q2,48.19,0.05,1.61,0.66,0.59,1.33,0.35,52.79,65.53,19.4
HD-S303,2025Q3,47.41,0.05,1.6,0.54,0.58,1.42,0.35,51.96,69.2,24.9
HD-S303,2025Q4,49.76,0.05,1.56,0.53,0.58,1.34,0.35,54.17,77.16,29.8
HD-S303,2026Q1,50.34,0.06,1.49,0.57,0.6,1.35,0.35,54.76,65.93,16.9
HD-S303,2026Q2,51.85,0.06,1.62,0.61,0.58,1.36,0.35,56.42,80.28,29.7
HD-S304,2024Q4,17.64,0.05,1.47,0.56,0.59,1.33,0.35,21.99,26.25,16.2
HD-S304,2025Q1,19.05,0.06,1.59,0.6,0.61,1.27,0.35,23.53,26.57,11.4
HD-S304,2025Q2,18.56,0.05,1.47,0.63,0.6,1.3,0.35,22.97,27.96,17.8
HD-S304,2025Q3,16.8,0.05,1.61,0.63,0.57,1.33,0.35,21.35,26.62,19.8
HD-S304,2025Q4,17.89,0.05,1.49,0.61,0.59,1.29,0.35,22.28,28.03,20.5
HD-S304,2026Q1,18.71,0.06,1.56,0.61,0.61,1.23,0.35,23.13,26.51,12.7
HD-S304,2026Q2,19.1,0.06,1.58,0.61,0.59,1.32,0.35,23.6,27.84,15.2
HD-S305,2024Q4,27.87,0.05,1.55,0.61,0.6,1.27,0.35,32.31,43.3,25.4
HD-S305,2025Q1,30.45,0.06,1.61,0.6,0.64,1.31,0.35,35.02,48.64,28.0
HD-S305,2025Q2,28.97,0.05,1.69,0.57,0.62,1.34,0.35,33.6,42.7,21.3
HD-S305,2025Q3,26.58,0.05,1.69,0.59,0.6,1.32,0.35,31.19,37.99,17.9
HD-S305,2025Q4,28.2,0.05,1.53,0.6,0.61,1.33,0.35,32.68,42.41,22.9
HD-S305,2026Q1,28.39,0.06,1.63,0.59,0.61,1.23,0.35,32.86,47.12,30.3
HD-S305,2026Q2,30.53,0.06,1.64,0.6,0.61,1.34,0.35,35.12,47.99,26.8
HD-S306,2024Q4,42.1,0.05,1.65,0.62,0.62,1.29,0.35,46.68,59.56,21.6
HD-S306,2025Q1,46.06,0.06,1.49,0.61,0.56,1.31,0.35,50.44,69.15,27.1
HD-S306,2025Q2,43.7,0.05,1.58,0.65,0.62,1.34,0.35,48.29,61.97,22.1
HD-S306,2025Q3,40.22,0.05,1.59,0.58,0.59,1.3,0.35,44.69,63.75,29.9
HD-S306,2025Q4,42.71,0.05,1.71,0.59,0.61,1.34,0.35,47.36,64.83,26.9
HD-S306,2026Q1,44.29,0.06,1.6,0.56,0.58,1.27,0.35,48.71,62.57,22.2
HD-S306,2026Q2,44.22,0.06,1.63,0.61,0.59,1.3,0.35,48.75,62.46,22.0
HD-S307,2024Q4,19.41,0.05,1.71,0.63,0.59,1.34,0.35,24.07,30.95,22.2
HD-S307,2025Q1,20.25,0.06,1.67,0.65,0.63,1.29,0.35,24.89,33.92,26.6
HD-S307,2025Q2,20.01,0.05,1.75,0.59,0.6,1.3,0.35,24.65,35.45,30.5
HD-S307,2025Q3,17.98,0.05,1.46,0.65,0.58,1.25,0.35,22.33,27.6,19.1
HD-S307,2025Q4,18.9,0.05,1.65,0.6,0.59,1.28,0.35,23.43,33.7,30.5
HD-S307,2026Q1,20.04,0.06,1.63,0.61,0.6,1.29,0.35,24.58,32.2,23.7
HD-S307,2026Q2,19.85,0.06,1.64,0.57,0.59,1.3,0.35,24.35,33.68,27.7
HD-S308,2024Q4,21.62,0.05,1.54,0.65,0.61,1.31,0.35,26.14,36.44,28.3
HD-S308,2025Q1,24.06,0.06,1.58,0.62,0.6,1.31,0.35,28.57,41.35,30.9
HD-S308,2025Q2,23.13,0.05,1.66,0.6,0.6,1.27,0.35,27.67,37.06,25.3
HD-S308,2025Q3,21.97,0.05,1.61,0.63,0.62,1.28,0.35,26.52,37.27,28.8
HD-S308,2025Q4,23.67,0.05,1.63,0.64,0.59,1.27,0.35,28.21,36.7,23.1
HD-S308,2026Q1,25.07,0.06,1.5,0.6,0.58,1.29,0.35,29.45,36.51,19.3
HD-S308,2026Q2,24.99,0.06,1.55,0.56,0.61,1.28,0.35,29.39,35.59,17.4
HD-N401,2024Q4,12.42,0.0,1.16,0.79,0.64,1.36,0.35,16.72,20.77,19.5
HD-N401,2025Q1,13.38,0.0,1.27,0.82,0.59,1.35,0.35,17.77,22.46,20.9
HD-N401,2025Q2,12.85,0.0,1.12,0.81,0.6,1.26,0.35,17.0,20.04,15.2
HD-N401,2025Q3,11.85,0.0,1.24,0.79,0.62,1.32,0.35,16.17,18.37,12.0
HD-N401,2025Q4,12.67,0.0,1.1,0.73,0.61,1.28,0.35,16.73,21.71,22.9
HD-N401,2026Q1,13.21,0.0,1.32,0.85,0.61,1.27,0.35,17.6,22.69,22.4
HD-N401,2026Q2,13.23,0.0,1.17,0.77,0.6,1.36,0.35,17.49,21.33,18.0
HD-N402,2024Q4,20.81,0.0,1.19,0.8,0.62,1.27,0.35,25.04,34.6,27.6
HD-N402,2025Q1,22.59,0.0,1.17,0.85,0.59,1.27,0.35,26.84,35.79,25.0
HD-N402,2025Q2,20.9,0.0,1.14,0.83,0.57,1.33,0.35,25.12,32.74,23.3
HD-N402,2025Q3,19.51,0.0,1.2,0.81,0.61,1.28,0.35,23.76,30.88,23.1
HD-N402,2025Q4,21.51,0.0,1.15,0.79,0.61,1.29,0.35,25.71,35.97,28.5
HD-N402,2026Q1,21.67,0.0,1.11,0.82,0.59,1.29,0.35,25.83,34.4,24.9
HD-N402,2026Q2,22.07,0.0,1.32,0.76,0.62,1.32,0.35,26.44,35.75,26.0
HD-N403,2024Q4,35.65,0.0,1.14,0.8,0.62,1.24,0.35,39.8,51.91,23.3
HD-N403,2025Q1,37.25,0.0,1.28,0.73,0.6,1.29,0.35,41.5,50.1,17.2
HD-N403,2025Q2,36.04,0.0,1.17,0.81,0.59,1.28,0.35,40.24,53.02,24.1
HD-N403,2025Q3,32.41,0.0,1.11,0.74,0.61,1.31,0.35,36.54,44.66,18.2
HD-N403,2025Q4,36.61,0.0,1.29,0.79,0.6,1.31,0.35,40.94,57.32,28.6
HD-N403,2026Q1,37.27,0.0,1.25,0.79,0.58,1.19,0.35,41.42,50.13,17.4
HD-N403,2026Q2,37.8,0.0,1.14,0.76,0.62,1.32,0.35,41.99,58.8,28.6
HD-N404,2024Q4,10.93,0.0,1.19,0.79,0.6,1.25,0.35,15.12,19.26,21.5
HD-N404,2025Q1,11.94,0.0,1.24,0.82,0.58,1.28,0.35,16.21,20.19,19.7
HD-N404,2025Q2,10.89,0.0,1.29,0.72,0.57,1.33,0.35,15.15,20.24,25.1
HD-N404,2025Q3,10.48,0.0,1.24,0.82,0.59,1.29,0.35,14.78,17.83,17.1
HD-N404,2025Q4,11.36,0.0,1.17,0.86,0.61,1.25,0.35,15.61,19.83,21.3
HD-N404,2026Q1,11.7,0.0,1.09,0.72,0.6,1.35,0.35,15.82,19.27,17.9
HD-N404,2026Q2,11.83,0.0,1.14,0.75,0.57,1.24,0.35,15.89,20.99,24.3
HD-T501,2024Q4,16.28,0.0,0.61,1.16,0.6,1.29,0.35,20.28,23.18,12.5
HD-T501,2025Q1,17.74,0.0,0.6,1.08,0.62,1.26,0.35,21.65,26.74,19.0
HD-T501,2025Q2,16.17,0.0,0.54,1.23,0.59,1.26,0.35,20.14,26.4,23.7
HD-T501,2025Q3,15.56,0.0,0.64,1.13,0.59,1.33,0.35,19.6,22.79,14.0
HD-T501,2025Q4,16.83,0.0,0.59,1.18,0.62,1.32,0.35,20.89,26.94,22.5
HD-T501,2026Q1,16.77,0.0,0.6,1.04,0.59,1.24,0.35,20.58,26.03,20.9
HD-T501,2026Q2,17.68,0.0,0.61,1.03,0.61,1.24,0.35,21.52,27.82,22.6
HD-T502,2024Q4,20.07,0.0,0.58,1.26,0.6,1.33,0.35,24.19,31.18,22.4
HD-T502,2025Q1,22.37,0.0,0.66,1.08,0.63,1.23,0.35,26.32,32.18,18.2
HD-T502,2025Q2,20.9,0.0,0.6,1.14,0.6,1.31,0.35,24.9,28.39,12.3
HD-T502,2025Q3,20.27,0.0,0.6,1.13,0.57,1.26,0.35,24.17,27.25,11.3
HD-T502,2025Q4,20.59,0.0,0.6,1.09,0.62,1.36,0.35,24.6,30.05,18.1
HD-T502,2026Q1,22.68,0.0,0.58,1.1,0.64,1.28,0.35,26.63,30.69,13.2
HD-T502,2026Q2,22.45,0.0,0.58,1.1,0.62,1.34,0.35,26.45,31.93,17.2
HD-T503,2024Q4,21.31,0.0,0.61,1.1,0.59,1.29,0.35,25.25,29.78,15.2
HD-T503,2025Q1,23.1,0.0,0.6,1.0,0.59,1.29,0.35,26.94,34.08,21.0
HD-T503,2025Q2,21.77,0.0,0.6,1.15,0.6,1.29,0.35,25.75,28.93,11.0
HD-T503,2025Q3,19.68,0.0,0.63,1.1,0.63,1.31,0.35,23.7,30.82,23.1
HD-T503,2025Q4,21.92,0.0,0.58,1.17,0.6,1.3,0.35,25.92,30.55,15.2
HD-T503,2026Q1,22.18,0.0,0.56,1.03,0.61,1.35,0.35,26.07,33.13,21.3
HD-T503,2026Q2,21.89,0.0,0.57,1.08,0.62,1.27,0.35,25.77,32.41,20.5
HD-T504,2024Q4,12.74,0.0,0.61,1.05,0.59,1.35,0.35,16.69,18.78,11.1
HD-T504,2025Q1,13.27,0.0,0.55,1.08,0.6,1.27,0.35,17.12,19.81,13.6
HD-T504,2025Q2,12.43,0.0,0.59,1.11,0.63,1.26,0.35,16.37,20.21,19.0
HD-T504,2025Q3,12.11,0.0,0.6,1.03,0.57,1.22,0.35,15.87,18.02,11.9
HD-T504,2025Q4,12.54,0.0,0.62,1.07,0.61,1.34,0.35,16.53,20.28,18.5
HD-T504,2026Q1,13.26,0.0,0.61,1.22,0.63,1.24,0.35,17.31,21.5,19.5
