月份,原材料名称,类别,含税价(元/吨),环比%
2024-09,H12MDI,异氰酸酯,83680,
2024-10,H12MDI,异氰酸酯,83200,-0.6
2024-11,H12MDI,异氰酸酯,84410,1.5
2024-12,H12MDI,异氰酸酯,80770,-4.3
2025-01,H12MDI,异氰酸酯,77950,-3.5
2025-02,H12MDI,异氰酸酯,75510,-3.1
2025-03,H12MDI,异氰酸酯,75660,0.2
2025-04,H12MDI,异氰酸酯,74690,-1.3
2025-05,H12MDI,异氰酸酯,73580,-1.5
2025-06,H12MDI,异氰酸酯,76530,4.0
2025-07,H12MDI,异氰酸酯,76570,0.0
2025-08,H12MDI,异氰酸酯,75960,-0.8
2025-09,H12MDI,异氰酸酯,73730,-2.9
2025-10,H12MDI,异氰酸酯,76490,3.7
2025-11,H12MDI,异氰酸酯,77210,0.9
2025-12,H12MDI,异氰酸酯,76790,-0.5
2026-01,H12MDI,异氰酸酯,76340,-0.6
2026-02,H12MDI,异氰酸酯,75110,-1.6
2026-03,H12MDI,异氰酸酯,76390,1.7
2026-04,H12MDI,异氰酸酯,73340,-4.0
2026-05,H12MDI,异氰酸酯,75020,2.3
2026-06,H12MDI,异氰酸酯,74010,-1.4
2026-07,H12MDI,异氰酸酯,73190,-1.1
2026-08,H12MDI,异氰酸酯,72540,-0.9
2024-09,PTMEG-2000,多元醇,17800,
2024-10,PTMEG-2000,多元醇,17660,-0.7
2024-11,PTMEG-2000,多元醇,17700,0.2
2024-12,PTMEG-2000,多元醇,17660,-0.2
2025-01,PTMEG-2000,多元醇,17450,-1.2
2025-02,PTMEG-2000,多元醇,17690,1.3
2025-03,PTMEG-2000,多元醇,18160,2.6
2025-04,PTMEG-2000,多元醇,17210,-5.2
2025-05,PTMEG-2000,多元醇,17240,0.2
2025-06,PTMEG-2000,多元醇,16930,-1.8
2025-07,PTMEG-2000,多元醇,16740,-1.1
2025-08,PTMEG-2000,多元醇,17460,4.3
2025-09,PTMEG-2000,多元醇,18180,4.1
2025-10,PTMEG-2000,多元醇,17220,-5.3
2025-11,PTMEG-2000,多元醇,16800,-2.4
2025-12,PTMEG-2000,多元醇,17290,2.9
2026-01,PTMEG-2000,多元醇,17130,-1.0
2026-02,PTMEG-2000,多元醇,16640,-2.9
2026-03,PTMEG-2000,多元醇,17220,3.5
2026-04,PTMEG-2000,多元醇,18470,7.2
2026-05,PTMEG-2000,多元醇,18810,1.9
2026-06,PTMEG-2000,多元醇,18140,-3.6
2026-07,PTMEG-2000,多元醇,17350,-4.3
2026-08,PTMEG-2000,多元醇,16940,-2.4
2024-09,PPG-2000,多元醇,10030,
2024-10,PPG-2000,多元醇,10620,5.9
2024-11,PPG-2000,多元醇,10720,0.9
2024-12,PPG-2000,多元醇,9820,-8.4
2025-01,PPG-2000,多元醇,9290,-5.3
2025-02,PPG-2000,多元醇,9690,4.3
2025-03,PPG-2000,多元醇,9530,-1.6
2025-04,PPG-2000,多元醇,9090,-4.6
2025-05,PPG-2000,多元醇,9310,2.4
2025-06,PPG-2000,多元醇,9470,1.8
2025-07,PPG-2000,多元醇,9100,-4.0
2025-08,PPG-2000,多元醇,8920,-2.0
2025-09,PPG-2000,多元醇,9480,6.3
2025-10,PPG-2000,多元醇,9360,-1.2
2025-11,PPG-2000,多元醇,9440,0.8
2025-12,PPG-2000,多元醇,9470,0.4
2026-01,PPG-2000,多元醇,9300,-1.8
2026-02,PPG-2000,多元醇,9330,0.3
2026-03,PPG-2000,多元醇,9160,-1.7
2026-04,PPG-2000,多元醇,8960,-2.2
2026-05,PPG-2000,多元醇,8080,-9.9
2026-06,PPG-2000,多元醇,8010,-0.8
2026-07,PPG-2000,多元醇,7590,-5.2
2026-08,PPG-2000,多元醇,7780,2.5
2024-09,PEA-2000,多元醇,11990,
2024-10,PEA-2000,多元醇,12220,1.9
2024-11,PEA-2000,多元醇,11770,-3.6
2024-12,PEA-2000,多元醇,11540,-2.0
2025-01,PEA-2000,多元醇,11520,-0.2
2025-02,PEA-2000,多元醇,12050,4.6
2025-03,PEA-2000,多元醇,11640,-3.4
2025-04,PEA-2000,多元醇,11660,0.2
2025-05,PEA-2000,多元醇,11900,2.0
2025-06,PEA-2000,多元醇,11430,-4.0
2025-07,PEA-2000,多元醇,11110,-2.8
2025-08,PEA-2000,多元醇,11000,-0.9
2025-09,PEA-2000,多元醇,10600,-3.7
2025-10,PEA-2000,多元醇,10990,3.8
2025-11,PEA-2000,多元醇,10780,-1.9
2025-12,PEA-2000,多元醇,11430,6.0
2026-01,PEA-2000,多元醇,11870,3.9
2026-02,PEA-2000,多元醇,11770,-0.8
2026-03,PEA-2000,多元醇,11560,-1.8
2026-04,PEA-2000,多元醇,11160,-3.5
2026-05,PEA-2000,多元醇,9780,-12.3
2026-06,PEA-2000,多元醇,9810,0.3
2026-07,PEA-2000,多元醇,9580,-2.3
2026-08,PEA-2000,多元醇,10540,10.0
2024-09,PBA-2000,多元醇,12570,
2024-10,PBA-2000,多元醇,12210,-2.9
2024-11,PBA-2000,多元醇,12610,3.3
2024-12,PBA-2000,多元醇,12370,-1.9
2025-01,PBA-2000,多元醇,12960,4.8
2025-02,PBA-2000,多元醇,13360,3.1
2025-03,PBA-2000,多元醇,14150,5.9
2025-04,PBA-2000,多元醇,13900,-1.7
2025-05,PBA-2000,多元醇,14140,1.7
2025-06,PBA-2000,多元醇,14080,-0.5
2025-07,PBA-2000,多元醇,14500,3.0
2025-08,PBA-2000,多元醇,14610,0.8
2025-09,PBA-2000,多元醇,14190,-2.9
2025-10,PBA-2000,多元醇,14790,4.3
2025-11,PBA-2000,多元醇,14210,-3.9
2025-12,PBA-2000,多元醇,13580,-4.4
2026-01,PBA-2000,多元醇,13370,-1.6
2026-02,PBA-2000,多元醇,14520,8.7
2026-03,PBA-2000,多元醇,14650,0.8
2026-04,PBA-2000,多元醇,14760,0.8
2026-05,PBA-2000,多元醇,14710,-0.3
2026-06,PBA-2000,多元醇,14500,-1.5
2026-07,PBA-2000,多元醇,15920,9.8
2026-08,PBA-2000,多元醇,15160,-4.8
2024-09,PCL-2000,多元醇,25300,
2024-10,PCL-2000,多元醇,25880,2.3
2024-11,PCL-2000,多元醇,25980,0.4
2024-12,PCL-2000,多元醇,25670,-1.2
2025-01,PCL-2000,多元醇,25500,-0.7
2025-02,PCL-2000,多元醇,25570,0.3
2025-03,PCL-2000,多元醇,25830,1.0
2025-04,PCL-2000,多元醇,25730,-0.4
2025-05,PCL-2000,多元醇,25780,0.2
2025-06,PCL-2000,多元醇,26280,1.9
2025-07,PCL-2000,多元醇,25490,-3.0
2025-08,PCL-2000,多元醇,25630,0.5
2025-09,PCL-2000,多元醇,26030,1.6
2025-10,PCL-2000,多元醇,26140,0.4
2025-11,PCL-2000,多元醇,25830,-1.2
2025-12,PCL-2000,多元醇,26040,0.8
2026-01,PCL-2000,多元醇,26830,3.0
2026-02,PCL-2000,多元醇,27160,1.2
2026-03,PCL-2000,多元醇,26800,-1.3
2026-04,PCL-2000,多元醇,26460,-1.3
2026-05,PCL-2000,多元醇,26370,-0.4
2026-06,PCL-2000,多元醇,25840,-2.0
2026-07,PCL-2000,多元醇,26860,4.0
2026-08,PCL-2000,多元醇,27810,3.5
2024-09,PCDL-2000,多元醇,47970,
2024-10,PCDL-2000,多元醇,46830,-2.4
2024-11,PCDL-2000,多元醇,46270,-1.2
2024-12,PCDL-2000,多元醇,46600,0.7
2025-01,PCDL-2000,多元醇,46510,-0.2
2025-02,PCDL-2000,多元醇,46520,0.0
2025-03,PCDL-2000,多元醇,44340,-4.7
2025-04,PCDL-2000,多元醇,44000,-0.8
2025-05,PCDL-2000,多元醇,44650,1.5
2025-06,PCDL-2000,多元醇,44590,-0.1
2025-07,PCDL-2000,多元醇,45560,2.2
2025-08,PCDL-2000,多元醇,46860,2.9
2025-09,PCDL-2000,多元醇,45810,-2.2
2025-10,PCDL-2000,多元醇,46980,2.6
2025-11,PCDL-2000,多元醇,47620,1.4
2025-12,PCDL-2000,多元醇,47960,0.7
2026-01,PCDL-2000,多元醇,48640,1.4
2026-02,PCDL-2000,多元醇,47810,-1.7
2026-03,PCDL-2000,多元醇,47250,-1.2
2026-04,PCDL-2000,多元醇,48400,2.4
2026-05,PCDL-2000,多元醇,46460,-4.0
2026-06,PCDL-2000,多元醇,45410,-2.3
2026-07,PCDL-2000,多元醇,46230,1.8
2026-08,PCDL-2000,多元醇,47060,1.8
2024-09,"1,4-丁二醇(BDO)",扩链剂,9220,
2024-10,"1,4-丁二醇(BDO)",扩链剂,9660,4.8
2024-11,"1,4-丁二醇(BDO)",扩链剂,10810,11.8
2024-12,"1,4-丁二醇(BDO)",扩链剂,8940,-17.3
2025-01,"1,4-丁二醇(BDO)",扩链剂,9780,9.4
2025-02,"1,4-丁二醇(BDO)",扩链剂,9830,0.5
2025-03,"1,4-丁二醇(BDO)",扩链剂,9580,-2.5
2025-04,"1,4-丁二醇(BDO)",扩链剂,10060,5.0
2025-05,"1,4-丁二醇(BDO)",扩链剂,10410,3.4
2025-06,"1,4-丁二醇(BDO)",扩链剂,11700,12.4
2025-07,"1,4-丁二醇(BDO)",扩链剂,10800,-7.7
2025-08,"1,4-丁二醇(BDO)",扩链剂,10080,-6.6
2025-09,"1,4-丁二醇(BDO)",扩链剂,11050,9.5
2025-10,"1,4-丁二醇(BDO)",扩链剂,9820,-11.1
2025-11,"1,4-丁二醇(BDO)",扩链剂,9290,-5.3
2025-12,"1,4-丁二醇(BDO)",扩链剂,9020,-3.0
2026-01,"1,4-丁二醇(BDO)",扩链剂,8910,-1.2
2026-02,"1,4-丁二醇(BDO)",扩链剂,9810,10.1
2026-03,"1,4-丁二醇(BDO)",扩链剂,8840,-9.9
2026-04,"1,4-丁二醇(BDO)",扩链剂,8650,-2.1
2026-05,"1,4-丁二醇(BDO)",扩链剂,8910,3.0
2026-06,"1,4-丁二醇(BDO)",扩链剂,8350,-6.4
2026-07,"1,4-丁二醇(BDO)",扩链剂,7390,-11.5
2026-08,"1,4-丁二醇(BDO)",扩链剂,7510,1.7
2024-09,乙二醇(EG),扩链剂,4150,
2024-10,乙二醇(EG),扩链剂,4090,-1.5
2024-11,乙二醇(EG),扩链剂,4160,1.7
2024-12,乙二醇(EG),扩链剂,4290,3.2
2025-01,乙二醇(EG),扩链剂,4110,-4.1
2025-02,乙二醇(EG),扩链剂,4210,2.2
2025-03,乙二醇(EG),扩链剂,4310,2.4
2025-04,乙二醇(EG),扩链剂,4220,-2.1
2025-05,乙二醇(EG),扩链剂,4290,1.8
2025-06,乙二醇(EG),扩链剂,4190,-2.5
2025-07,乙二醇(EG),扩链剂,4340,3.7
2025-08,乙二醇(EG),扩链剂,4140,-4.7
2025-09,乙二醇(EG),扩链剂,4130,-0.1
2025-10,乙二醇(EG),扩链剂,4310,4.3
2025-11,乙二醇(EG),扩链剂,4350,0.8
2025-12,乙二醇(EG),扩链剂,4170,-3.9
2026-01,乙二醇(EG),扩链剂,4280,2.5
2026-02,乙二醇(EG),扩链剂,4260,-0.5
2026-03,乙二醇(EG),扩链剂,4340,2.0
2026-04,乙二醇(EG),扩链剂,4410,1.4
2026-05,乙二醇(EG),扩链剂,4190,-4.8
2026-06,乙二醇(EG),扩链剂,4260,1.6
2026-07,乙二醇(EG),扩链剂,3960,-7.2
2026-08,乙二醇(EG),扩链剂,3990,0.8
2024-09,"1,6-己二醇(HDO)",扩链剂,26370,
2024-10,"1,6-己二醇(HDO)",扩链剂,26650,1.1
2024-11,"1,6-己二醇(HDO)",扩链剂,25740,-3.4
2024-12,"1,6-己二醇(HDO)",扩链剂,25560,-0.7
2025-01,"1,6-己二醇(HDO)",扩链剂,25290,-1.1
2025-02,"1,6-己二醇(HDO)",扩链剂,26470,4.7
2025-03,"1,6-己二醇(HDO)",扩链剂,26390,-0.3
2025-04,"1,6-己二醇(HDO)",扩链剂,25470,-3.5
2025-05,"1,6-己二醇(HDO)",扩链剂,24880,-2.3
2025-06,"1,6-己二醇(HDO)",扩链剂,24750,-0.5
2025-07,"1,6-己二醇(HDO)",扩链剂,23170,-6.4
2025-08,"1,6-己二醇(HDO)",扩链剂,23790,2.7
2025-09,"1,6-己二醇(HDO)",扩链剂,24400,2.6
2025-10,"1,6-己二醇(HDO)",扩链剂,23900,-2.0
2025-11,"1,6-己二醇(HDO)",扩链剂,24670,3.2
2025-12,"1,6-己二醇(HDO)",扩链剂,23680,-4.0
2026-01,"1,6-己二醇(HDO)",扩链剂,24250,2.4
2026-02,"1,6-己二醇(HDO)",扩链剂,24590,1.4
2026-03,"1,6-己二醇(HDO)",扩链剂,24030,-2.3
2026-04,"1,6-己二醇(HDO)",扩链剂,24280,1.0
2026-05,"1,6-己二醇(HDO)",扩链剂,24410,0.6
2026-06,"1,6-己二醇(HDO)",扩链剂,24920,2.1
2026-07,"1,6-己二醇(HDO)",扩链剂,24560,-1.4
2026-08,"1,6-己二醇(HDO)",扩链剂,24590,0.1
2024-09,乙二胺(EDA),扩链剂,16120,
2024-10,乙二胺(EDA),扩链剂,15120,-6.2
2024-11,乙二胺(EDA),扩链剂,15040,-0.5
2024-12,乙二胺(EDA),扩链剂,15060,0.1
2025-01,乙二胺(EDA),扩链剂,14820,-1.6
2025-02,乙二胺(EDA),扩链剂,15560,5.0
2025-03,乙二胺(EDA),扩链剂,15170,-2.5
2025-04,乙二胺(EDA),扩链剂,14680,-3.3
2025-05,乙二胺(EDA),扩链剂,14920,1.7
2025-06,乙二胺(EDA),扩链剂,15160,1.6
2025-07,乙二胺(EDA),扩链剂,15610,3.0
2025-08,乙二胺(EDA),扩链剂,15540,-0.4
2025-09,乙二胺(EDA),扩链剂,14760,-5.0
2025-10,乙二胺(EDA),扩链剂,14720,-0.3
2025-11,乙二胺(EDA),扩链剂,15080,2.4
2025-12,乙二胺(EDA),扩链剂,15480,2.7
2026-01,乙二胺(EDA),扩链剂,15840,2.3
2026-02,乙二胺(EDA),扩链剂,15470,-2.3
2026-03,乙二胺(EDA),扩链剂,14240,-7.9
2026-04,乙二胺(EDA),扩链剂,14060,-1.3
2026-05,乙二胺(EDA),扩链剂,14420,2.6
2026-06,乙二胺(EDA),扩链剂,13340,-7.5
2026-07,乙二胺(EDA),扩链剂,12920,-3.1
2026-08,乙二胺(EDA),扩链剂,12380,-4.2
2024-09,DMF,溶剂,5730,
2024-10,DMF,溶剂,5400,-5.8
2024-11,DMF,溶剂,5350,-0.8
2024-12,DMF,溶剂,5590,4.4
2025-01,DMF,溶剂,5650,1.1
2025-02,DMF,溶剂,6110,8.2
2025-03,DMF,溶剂,6100,-0.1
2025-04,DMF,溶剂,5440,-10.9
2025-05,DMF,溶剂,5310,-2.4
2025-06,DMF,溶剂,5780,9.0
2025-07,DMF,溶剂,5970,3.3
2025-08,DMF,溶剂,5540,-7.2
2025-09,DMF,溶剂,5140,-7.2
2025-10,DMF,溶剂,4760,-7.3
2025-11,DMF,溶剂,4950,3.8
2025-12,DMF,溶剂,4850,-2.0
2026-01,DMF,溶剂,4940,1.9
2026-02,DMF,溶剂,4360,-11.7
2026-03,DMF,溶剂,4500,3.2
2026-04,DMF,溶剂,4280,-4.8
2026-05,DMF,溶剂,4400,2.8
2026-06,DMF,溶剂,4660,5.9
2026-07,DMF,溶剂,5170,11.0
2026-08,DMF,溶剂,5340,3.1
2024-09,丁酮(MEK),溶剂,7880,
2024-10,丁酮(MEK),溶剂,7900,0.2
2024-11,丁酮(MEK),溶剂,6880,-12.8
2024-12,丁酮(MEK),溶剂,6930,0.7
2025-01,丁酮(MEK),溶剂,7380,6.4
2025-02,丁酮(MEK),溶剂,6970,-5.5
2025-03,丁酮(MEK),溶剂,6840,-1.9
2025-04,丁酮(MEK),溶剂,6970,1.9
2025-05,丁酮(MEK),溶剂,6990,0.2
2025-06,丁酮(MEK),溶剂,6450,-7.6
2025-07,丁酮(MEK),溶剂,6340,-1.7
2025-08,丁酮(MEK),溶剂,6480,2.1
2025-09,丁酮(MEK),溶剂,6560,1.3
2025-10,丁酮(MEK),溶剂,6340,-3.5
2025-11,丁酮(MEK),溶剂,6510,2.8
2025-12,丁酮(MEK),溶剂,7070,8.5
2026-01,丁酮(MEK),溶剂,7070,0.0
2026-02,丁酮(MEK),溶剂,7070,-0.0
2026-03,丁酮(MEK),溶剂,6750,-4.5
2026-04,丁酮(MEK),溶剂,6990,3.6
2026-05,丁酮(MEK),溶剂,6730,-3.7
2026-06,丁酮(MEK),溶剂,6880,2.1
2026-07,丁酮(MEK),溶剂,6530,-5.1
2026-08,丁酮(MEK),溶剂,6880,5.4
2024-09,甲苯,溶剂,6750,
2024-10,甲苯,溶剂,6610,-2.0
2024-11,甲苯,溶剂,6790,2.7
2024-12,甲苯,溶剂,6810,0.3
2025-01,甲苯,溶剂,6430,-5.5
2025-02,甲苯,溶剂,6490,0.9
2025-03,甲苯,溶剂,6150,-5.4
2025-04,甲苯,溶剂,5980,-2.6
2025-05,甲苯,溶剂,6040,0.9
2025-06,甲苯,溶剂,5950,-1.5
2025-07,甲苯,溶剂,6270,5.4
2025-08,甲苯,溶剂,5930,-5.5
2025-09,甲苯,溶剂,6340,7.0
2025-10,甲苯,溶剂,5880,-7.3
2025-11,甲苯,溶剂,5830,-0.8
2025-12,甲苯,溶剂,5810,-0.3
2026-01,甲苯,溶剂,5970,2.7
2026-02,甲苯,溶剂,6340,6.2
2026-03,甲苯,溶剂,6400,0.8
2026-04,甲苯,溶剂,6140,-4.0
2026-05,甲苯,溶剂,6030,-1.8
2026-06,甲苯,溶剂,6110,1.2
2026-07,甲苯,溶剂,6010,-1.6
2026-08,甲苯,溶剂,6120,1.9
2024-09,乙酸乙酯,溶剂,6510,
2024-10,乙酸乙酯,溶剂,6530,0.4
2024-11,乙酸乙酯,溶剂,6760,3.4
2024-12,乙酸乙酯,溶剂,6590,-2.5
2025-01,乙酸乙酯,溶剂,6590,0.0
2025-02,乙酸乙酯,溶剂,6640,0.7
2025-03,乙酸乙酯,溶剂,6420,-3.2
2025-04,乙酸乙酯,溶剂,6250,-2.7
2025-05,乙酸乙酯,溶剂,6560,5.0
2025-06,乙酸乙酯,溶剂,5690,-13.3
2025-07,乙酸乙酯,溶剂,5580,-1.9
2025-08,乙酸乙酯,溶剂,4960,-11.1
2025-09,乙酸乙酯,溶剂,4560,-8.0
2025-10,乙酸乙酯,溶剂,4300,-5.8
2025-11,乙酸乙酯,溶剂,4430,3.1
2025-12,乙酸乙酯,溶剂,4240,-4.4
2026-01,乙酸乙酯,溶剂,4160,-1.8
2026-02,乙酸乙酯,溶剂,4110,-1.2
2026-03,乙酸乙酯,溶剂,4020,-2.2
2026-04,乙酸乙酯,溶剂,4380,8.8
2026-05,乙酸乙酯,溶剂,4290,-2.0
2026-06,乙酸乙酯,溶剂,4420,3.0
2026-07,乙酸乙酯,溶剂,4530,2.5
2026-08,乙酸乙酯,溶剂,4360,-3.8
2024-09,二月桂酸二丁基锡,催化剂,69610,
2024-10,二月桂酸二丁基锡,催化剂,68080,-2.2
2024-11,二月桂酸二丁基锡,催化剂,69130,1.5
2024-12,二月桂酸二丁基锡,催化剂,68830,-0.4
2025-01,二月桂酸二丁基锡,催化剂,72480,5.3
2025-02,二月桂酸二丁基锡,催化剂,73400,1.3
2025-03,二月桂酸二丁基锡,催化剂,71550,-2.5
2025-04,二月桂酸二丁基锡,催化剂,69740,-2.5
2025-05,二月桂酸二丁基锡,催化剂,69630,-0.2
2025-06,二月桂酸二丁基锡,催化剂,70510,1.3
2025-07,二月桂酸二丁基锡,催化剂,72560,2.9
2025-08,二月桂酸二丁基锡,催化剂,73010,0.6
2025-09,二月桂酸二丁基锡,催化剂,73770,1.0
2025-10,二月桂酸二丁基锡,催化剂,73670,-0.1
2025-11,二月桂酸二丁基锡,催化剂,73910,0.3
2025-12,二月桂酸二丁基锡,催化剂,75980,2.8
2026-01,二月桂酸二丁基锡,催化剂,75560,-0.5
2026-02,二月桂酸二丁基锡,催化剂,74700,-1.1
2026-03,二月桂酸二丁基锡,催化剂,77200,3.3
2026-04,二月桂酸二丁基锡,催化剂,77210,0.0
2026-05,二月桂酸二丁基锡,催化剂,76860,-0.4
2026-06,二月桂酸二丁基锡,催化剂,76430,-0.6
2026-07,二月桂酸二丁基锡,催化剂,78550,2.8
2026-08,二月桂酸二丁基锡,催化剂,78320,-0.3
2024-09,辛酸亚锡,催化剂,57590,
2024-10,辛酸亚锡,催化剂,58920,2.3
2024-11,辛酸亚锡,催化剂,59660,1.3
2024-12,辛酸亚锡,催化剂,58670,-1.6
2025-01,辛酸亚锡,催化剂,60520,3.1
2025-02,辛酸亚锡,催化剂,60510,-0.0
2025-03,辛酸亚锡,催化剂,61870,2.2
2025-04,辛酸亚锡,催化剂,62970,1.8
2025-05,辛酸亚锡,催化剂,64390,2.3
2025-06,辛酸亚锡,催化剂,66590,3.4
2025-07,辛酸亚锡,催化剂,65420,-1.8
2025-08,辛酸亚锡,催化剂,68520,4.7
2025-09,辛酸亚锡,催化剂,69390,1.3
2025-10,辛酸亚锡,催化剂,67870,-2.2
2025-11,辛酸亚锡,催化剂,65940,-2.8
2025-12,辛酸亚锡,催化剂,66260,0.5
2026-01,辛酸亚锡,催化剂,67010,1.1
2026-02,辛酸亚锡,催化剂,65490,-2.3
2026-03,辛酸亚锡,催化剂,64170,-2.0
2026-04,辛酸亚锡,催化剂,64190,0.0
2026-05,辛酸亚锡,催化剂,65150,1.5
2026-06,辛酸亚锡,催化剂,64390,-1.2
2026-07,辛酸亚锡,催化剂,66010,2.5
2026-08,辛酸亚锡,催化剂,69880,5.9
2024-09,抗氧化剂1010,助剂,36360,
2024-10,抗氧化剂1010,助剂,36300,-0.1
2024-11,抗氧化剂1010,助剂,36290,-0.0
2024-12,抗氧化剂1010,助剂,36570,0.8
2025-01,抗氧化剂1010,助剂,35670,-2.5
2025-02,抗氧化剂1010,助剂,35950,0.8
2025-03,抗氧化剂1010,助剂,35520,-1.2
2025-04,抗氧化剂1010,助剂,35620,0.3
2025-05,抗氧化剂1010,助剂,36180,1.6
2025-06,抗氧化剂1010,助剂,37180,2.8
2025-07,抗氧化剂1010,助剂,36780,-1.1
2025-08,抗氧化剂1010,助剂,38030,3.4
2025-09,抗氧化剂1010,助剂,39090,2.8
2025-10,抗氧化剂1010,助剂,38160,-2.4
2025-11,抗氧化剂1010,助剂,36210,-5.1
2025-12,抗氧化剂1010,助剂,35980,-0.6
2026-01,抗氧化剂1010,助剂,36510,1.4
2026-02,抗氧化剂1010,助剂,36400,-0.3
2026-03,抗氧化剂1010,助剂,37000,1.6
2026-04,抗氧化剂1010,助剂,37850,2.3
2026-05,抗氧化剂1010,助剂,37970,0.3
2026-06,抗氧化剂1010,助剂,36440,-4.0
2026-07,抗氧化剂1010,助剂,36350,-0.2
2026-08,抗氧化剂1010,助剂,35400,-2.6
