实验编号,实验日期,实验员,关联项目,目标产品,实验类型,多元醇类型,多元醇用量(份),异氰酸酯类型,NCO/OH摩尔比R,扩链剂类型,扩链剂用量(份),催化剂种类,催化剂用量(%),抗水解剂用量(%),亲水扩链剂DMPA用量(%),溶剂体系,目标固含量(%),预聚温度(℃),预聚时间(h),扩链温度(℃),搅拌转速(rpm),实测NCO%,实测固含量(%),实测粘度(mPa·s),外观,结论,是否达标,备注
EXP-2024-0024,2024-11-01,王芳,RD-2025-005,HD-W102,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,HDI,1.042,EG,4.9,TEDA(三乙烯二胺),0.025,0.5,,DMF,33.7,84,2.0,65,80,2.84,32.9,113630,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0025,2026-05-19,吴静,RD-2024-010,HD-W103,放大确认,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.051,HDO,5.8,DBTDL(二月桂酸二丁基锡),0.047,1.5,,DMF,32.9,78,3.3,74,100,3.02,33.4,120555,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0026,2025-04-07,孙丽,RD-2024-010,HD-W103,DOE,聚丙二醇(PPG-2000),100,MDI,1.046,HDO,4.2,DBTDL(二月桂酸二丁基锡),0.075,1.0,,DMF,32.9,79,2.1,65,100,3.12,32.4,118724,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0027,2026-08-02,王芳,RD-2024-010,HD-W103,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.028,EG,2.4,DBTDL(二月桂酸二丁基锡),0.044,0,,DMF,32.9,72,2.1,65,120,2.44,33.4,124278,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0028,2026-08-18,何斌,RD-2024-010,HD-W103,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.057,BDO,5.2,DBTDL(二月桂酸二丁基锡),0.046,0,,DMF,32.9,74,3.5,71,100,3.36,32.9,103267,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0029,2026-01-19,周涛,RD-2024-010,HD-W103,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.049,EG,4.2,SnOct(辛酸亚锡),0.044,0.5,,DMF,32.9,79,2.2,57,80,3.21,33.0,130987,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0030,2025-10-29,赵敏,RD-2024-010,HD-W103,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.087,BDO,7.3,DBTDL(二月桂酸二丁基锡),0.055,0.5,,DMF,32.9,73,3.2,73,80,4.58,34.1,137306,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0031,2025-04-14,陈立,RD-2024-010,HD-W103,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.057,BDO,6.1,SnOct(辛酸亚锡),0.027,0,,DMF,32.9,80,1.6,67,100,3.39,33.3,129898,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0032,2024-12-21,郭燕,RD-2024-010,HD-W103,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.074,BDO,6.1,DBTDL(二月桂酸二丁基锡),0.069,0,,DMF,32.9,72,2.5,59,80,4.09,32.3,154351,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0033,2025-02-07,王芳,RD-2024-010,HD-W103,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.054,BDO,5.3,DBTDL(二月桂酸二丁基锡),0.059,0.5,,DMF,32.9,81,1.5,74,120,3.59,33.1,131291,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0034,2026-02-05,周涛,RD-2024-010,HD-W103,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.053,BDO,5.9,SnOct(辛酸亚锡),0.061,0,,DMF,32.9,79,3.4,59,120,3.36,32.0,118970,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0035,2025-09-05,何斌,RD-2024-010,HD-W103,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.051,BDO,5.1,TEDA(三乙烯二胺),0.032,1.0,,DMF,32.9,81,2.8,74,120,3.37,32.2,144093,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0036,2025-01-20,李强,RD-2024-010,HD-W103,对比验证,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.035,BDO,3.5,TEDA(三乙烯二胺),0.015,1.5,,DMF,32.9,76,2.8,60,60,2.66,32.8,122258,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0037,2025-06-03,赵敏,—,HD-W104,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.067,BDO,7.1,TEDA(三乙烯二胺),0.057,1.5,,DMF,34.1,73,3.1,68,100,3.63,35.3,108605,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0038,2025-05-27,吴静,—,HD-W104,工艺优化,聚丙二醇(PPG-2000),100,MDI,1.081,BDO,8.0,SnOct(辛酸亚锡),0.067,1.0,,DMF,34.1,83,2.0,74,100,4.23,34.1,123266,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0039,2026-03-22,朱军,—,HD-W104,DOE,聚己内酯二醇(PCL-2000),100,HDI,1.052,BDO,5.6,TEDA(三乙烯二胺),0.024,1.5,,DMF,34.1,81,2.4,57,60,3.33,35.0,106634,微浊,粘度异常，复测并排查水分,未达标,
EXP-2026-0040,2026-03-08,郑凯,—,HD-W104,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.044,BDO,4.7,TEDA(三乙烯二胺),0.041,1.5,,DMF,34.1,79,2.4,72,100,3.04,33.7,93721,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0041,2026-05-01,何斌,—,HD-W104,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.051,BDO,5.1,SnOct(辛酸亚锡),0.063,1.5,,DMF,34.1,79,2.6,62,100,3.17,34.1,136034,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0042,2024-12-28,周涛,—,HD-W104,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.058,BDO,6.4,SnOct(辛酸亚锡),0.05,0,,DMF,34.1,82,2.1,59,100,3.38,33.8,122785,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0043,2026-01-10,陈立,—,HD-W104,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.05,HDO,4.9,DBTDL(二月桂酸二丁基锡),0.018,0,,DMF,34.1,77,3.3,60,100,3.26,34.3,103524,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0044,2025-11-07,陈立,—,HD-W104,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.082,BDO,9.4,TEDA(三乙烯二胺),0.079,0,,DMF,34.1,80,2.5,65,60,4.47,33.3,119147,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2024-0045,2024-12-20,陈立,—,HD-W104,对比验证,聚己内酯二醇(PCL-2000),100,MDI,1.074,BDO,7.2,TEDA(三乙烯二胺),0.047,0,,DMF,34.1,72,2.7,67,100,3.96,33.9,121449,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0046,2025-06-12,孙丽,—,HD-W104,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.073,BDO,6.1,DBTDL(二月桂酸二丁基锡),0.06,1.0,,DMF,34.1,74,1.7,57,100,3.81,34.0,141225,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0047,2025-09-16,王芳,—,HD-W104,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.071,BDO,5.9,DBTDL(二月桂酸二丁基锡),0.059,1.0,,DMF,34.1,76,2.3,60,60,3.93,34.3,117155,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0048,2026-07-20,周涛,—,HD-W104,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.073,BDO,6.6,DBTDL(二月桂酸二丁基锡),0.048,0.5,,DMF,34.1,75,2.5,63,60,3.97,33.7,126889,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0049,2026-03-29,郭燕,—,HD-W105,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,H12MDI,1.08,BDO,6.8,DBTDL(二月桂酸二丁基锡),0.07,0,,DMF,34.3,72,2.5,61,120,4.17,34.3,111091,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0050,2025-10-07,王芳,—,HD-W105,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.087,BDO,9.6,TEDA(三乙烯二胺),0.016,0,,DMF,34.3,72,2.9,70,60,4.41,33.3,101623,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0051,2026-06-28,何斌,—,HD-W105,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.06,BDO,5.1,DBTDL(二月桂酸二丁基锡),0.011,0,,DMF,34.3,75,3.0,57,120,3.66,33.7,109414,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0052,2024-12-12,吴静,—,HD-W105,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,IPDI,1.089,HDO,8.8,SnOct(辛酸亚锡),0.03,1.0,,DMF,34.3,72,3.4,62,120,4.55,33.8,112440,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0053,2026-05-07,朱军,—,HD-W105,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.066,EG,6.6,TEDA(三乙烯二胺),0.034,0,,DMF,34.3,82,1.7,65,100,3.77,33.4,99555,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2024-0054,2024-10-21,郑凯,—,HD-W105,配方筛选,聚丙二醇(PPG-2000),100,MDI,1.083,EG,9.3,TEDA(三乙烯二胺),,0,,DMF,34.3,76,2.1,71,100,4.18,34.8,115896,微黄透明,粘度异常，复测并排查水分,部分达标,记录缺失(原始纸质记录污损)
EXP-2024-0055,2024-12-05,郭燕,—,HD-W105,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.073,BDO,6.2,SnOct(辛酸亚锡),0.066,1.5,,DMF,34.3,76,3.1,69,60,4.17,34.0,106906,微浊,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0056,2026-05-29,赵敏,—,HD-W105,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.074,BDO,7.2,DBTDL(二月桂酸二丁基锡),0.059,1.5,,DMF,34.3,77,3.3,71,60,3.94,33.7,118020,微浊,配方满足目标窗口，建议放大,达标,
EXP-2026-0057,2026-04-14,郑凯,—,HD-W105,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.079,EG,9.0,DBTDL(二月桂酸二丁基锡),0.061,1.0,,DMF,34.3,82,3.3,61,100,4.17,34.4,114269,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0058,2025-09-08,朱军,—,HD-W105,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.08,BDO,8.7,SnOct(辛酸亚锡),0.03,0,,DMF,34.3,83,2.3,57,120,4.25,35.7,116925,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0059,2025-05-28,李强,—,HD-W105,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.086,HDO,8.8,SnOct(辛酸亚锡),0.076,0.5,,DMF,34.3,79,2.9,61,60,4.56,34.4,123278,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0060,2025-03-24,何斌,—,HD-W105,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.058,EG,6.8,TEDA(三乙烯二胺),0.021,1.5,,DMF,34.3,72,2.1,63,80,3.42,34.0,122904,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0061,2025-04-07,赵敏,—,HD-W106,对比验证,聚丙二醇(PPG-2000),100,MDI,1.051,HDO,4.5,TEDA(三乙烯二胺),0.038,1.5,,DMF,30.2,77,2.8,71,120,3.24,30.6,115003,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0062,2025-06-25,王芳,—,HD-W106,DOE,聚丙二醇(PPG-2000),100,MDI,1.055,EG,5.6,DBTDL(二月桂酸二丁基锡),0.068,1.0,,DMF,30.2,73,2.3,73,60,3.31,30.7,118550,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0063,2025-05-02,周涛,—,HD-W106,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.045,EG,5.1,SnOct(辛酸亚锡),0.066,0.5,,DMF,30.2,76,1.5,68,80,3.14,31.0,105162,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0064,2025-02-14,王芳,—,HD-W106,工艺优化,聚丙二醇(PPG-2000),100,H12MDI,1.04,BDO,4.3,TEDA(三乙烯二胺),0.011,0.5,,DMF,30.2,74,3.5,67,80,2.96,31.2,125390,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0065,2025-06-06,吴静,—,HD-W106,配方筛选,聚丙二醇(PPG-2000),100,MDI,1.061,EG,5.6,DBTDL(二月桂酸二丁基锡),0.065,1.0,,DMF,30.2,79,3.3,60,60,3.63,31.4,118170,微浊,粘度异常，复测并排查水分,部分达标,
EXP-2025-0066,2025-02-09,孙丽,—,HD-W106,DOE,聚丙二醇(PPG-2000),100,H12MDI,1.053,BDO,4.4,DBTDL(二月桂酸二丁基锡),0.04,0.5,,DMF,30.2,80,3.3,60,100,3.23,30.6,98610,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0067,2025-09-18,王芳,—,HD-W106,配方筛选,聚丙二醇(PPG-2000),100,MDI,1.033,BDO,3.7,SnOct(辛酸亚锡),0.076,1.0,,DMF,30.2,76,3.4,68,80,2.66,30.9,113595,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0068,2026-02-23,郭燕,—,HD-W106,DOE,聚丙二醇(PPG-2000),100,MDI,1.023,HDO,2.4,TEDA(三乙烯二胺),0.011,1.0,,DMF,30.2,85,2.1,55,100,2.23,29.6,124586,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0069,2025-03-31,李强,—,HD-W106,工艺优化,聚丙二醇(PPG-2000),100,MDI,1.035,BDO,2.9,SnOct(辛酸亚锡),0.021,0,,DMF,30.2,83,1.5,63,120,2.66,29.2,108558,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0070,2025-07-09,朱军,—,HD-W106,工艺优化,聚丙二醇(PPG-2000),100,HDI,1.048,EG,5.3,SnOct(辛酸亚锡),0.021,0.5,,DMF,30.2,78,1.9,65,80,3.12,30.8,113234,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0071,2025-09-30,朱军,—,HD-W106,工艺优化,聚丙二醇(PPG-2000),100,MDI,1.048,EG,5.7,SnOct(辛酸亚锡),0.016,0,,DMF,30.2,82,3.3,63,60,2.97,29.2,110715,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0072,2024-12-23,郑凯,—,HD-W106,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.026,HDO,2.6,SnOct(辛酸亚锡),0.022,0.5,,DMF,30.2,84,1.9,58,100,2.37,30.3,103390,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0073,2026-07-25,吴静,RD-2024-009,HD-W107,DOE,聚碳酸酯二醇(PCDL-2000),100,TDI-80,1.051,BDO,5.8,TEDA(三乙烯二胺),0.036,1.0,,DMF,32.5,83,2.6,56,120,3.14,31.7,138644,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0074,2025-01-27,李强,RD-2025-006,HD-W107,工艺优化,聚碳酸酯二醇(PCDL-2000),100,MDI,1.063,BDO,7.2,TEDA(三乙烯二胺),0.057,0,,DMF,32.5,82,1.8,69,60,3.59,32.2,148477,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0075,2026-04-03,何斌,RD-2025-006,HD-W107,DOE,聚碳酸酯二醇(PCDL-2000),100,MDI,1.066,BDO,6.0,SnOct(辛酸亚锡),0.051,1.0,,DMF,32.5,73,2.8,61,60,3.57,32.7,120718,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0076,2025-09-04,何斌,RD-2025-006,HD-W107,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.049,EG,5.5,SnOct(辛酸亚锡),0.07,1.5,,DMF,32.5,81,2.1,71,80,3.02,32.7,115449,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0077,2025-08-15,何斌,RD-2025-006,HD-W107,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.06,EG,6.5,DBTDL(二月桂酸二丁基锡),0.033,0.5,,DMF,32.5,84,1.7,68,120,3.64,31.6,144423,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0078,2025-01-19,孙丽,RD-2025-006,HD-W107,DOE,聚碳酸酯二醇(PCDL-2000),100,MDI,1.055,HDO,4.4,DBTDL(二月桂酸二丁基锡),0.069,0,,DMF,32.5,78,2.1,71,80,3.39,33.0,124473,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0079,2026-01-26,郭燕,RD-2024-009,HD-W107,DOE,聚碳酸酯二醇(PCDL-2000),100,MDI,1.076,HDO,7.8,SnOct(辛酸亚锡),0.045,0,,DMF,32.5,80,2.4,60,60,4.04,31.5,107923,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2024-0080,2024-12-01,朱军,RD-2024-009,HD-W107,对比验证,聚碳酸酯二醇(PCDL-2000),100,MDI,1.083,EG,8.9,DBTDL(二月桂酸二丁基锡),0.025,0,,DMF,32.5,78,1.7,67,60,4.26,32.7,140478,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0081,2026-07-24,何斌,RD-2024-009,HD-W107,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.071,BDO,7.8,SnOct(辛酸亚锡),0.025,1.5,,DMF,32.5,79,1.8,56,60,3.72,32.4,146426,微浊,粘度异常，复测并排查水分,未达标,
EXP-2024-0082,2024-11-14,周涛,RD-2024-009,HD-W107,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,H12MDI,1.039,EG,3.8,SnOct(辛酸亚锡),0.03,0,,DMF,32.5,78,2.6,59,100,2.88,32.7,153901,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0083,2025-12-07,郭燕,RD-2024-009,HD-W107,放大确认,聚碳酸酯二醇(PCDL-2000),100,MDI,1.07,EG,7.4,SnOct(辛酸亚锡),0.045,1.5,,DMF,32.5,75,3.5,59,80,4.02,32.9,155931,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0084,2024-09-06,郭燕,RD-2024-009,HD-W107,工艺优化,聚碳酸酯二醇(PCDL-2000),100,MDI,1.087,HDO,7.4,SnOct(辛酸亚锡),0.031,0,,DMF,32.5,80,3.5,67,80,4.6,31.6,129364,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0085,2025-08-31,王芳,RD-2024-001,HD-W108,工艺优化,聚碳酸酯二醇(PCDL-2000),100,MDI,1.056,HDO,5.7,SnOct(辛酸亚锡),0.054,1.5,,DMF,34.3,78,3.5,75,120,3.14,34.6,157578,微黄透明,配方满足目标窗口，建议放大,达标,
